stimId,count,mean,std,min,25%,50%,75%,max
A1,33.0,5.2727272727272725,1.6254370041762476,0.0,6.0,6.0,6.0,6.0
A2,33.0,4.96969696969697,1.7227312704838877,0.0,4.0,6.0,6.0,6.0
A3,33.0,5.181818181818182,1.2858495599832396,0.9999999999999998,4.0,6.0,6.0,6.0
A4,33.0,4.393939393939394,1.7489174140628028,0.0,3.0,5.0,6.0,6.0
A5,33.0,3.303030303030303,1.7044949487467043,0.0,2.0,3.0,5.0,6.0
B1,33.0,4.575757575757576,1.658883341104473,0.0,4.0,5.0,6.0,6.0
B2,33.0,4.757575757575758,1.3699977880981922,0.9999999999999998,4.0,5.0,6.0,6.0
B3,33.0,4.333333333333333,1.796988221070652,0.0,3.0,5.0,6.0,6.0
B4,33.0,4.090909090909091,1.5685111643616925,0.0,3.0,4.0,5.0,6.0
B5,33.0,3.0303030303030303,1.928160530221234,0.0,2.0,3.0,5.0,6.0
G1,33.0,5.0,1.25,2.0,4.0,5.0,6.0,6.0
G2,33.0,5.424242424242424,1.0905933886623094,0.9999999999999998,5.0,6.0,6.0,6.0
G3,33.0,5.454545454545454,1.033528818263825,2.0,5.0,6.0,6.0,6.0
G4,33.0,5.545454545454546,1.2270622715175534,0.9999999999999998,6.0,6.0,6.0,6.0
G5,33.0,5.7272727272727275,0.8012773892638269,3.0,6.0,6.0,6.0,6.0
