stim,A50,A150,A250,A350,A450,B550,B650,B750,B850,B950,C1050,C1150,C1250,C1350,C1450
A50,1.0,0.5852564102564102,0.37948717948717947,0.27403846153846156,0.21969696969696972,0.15625,0.11672794117647059,0.09710144927536231,0.1037037037037037,0.06314102564102564,0.05705128205128205,0.060968137254901966,0.05555555555555555,0.029629629629629624,0.03796296296296296
A150,0.5852564102564102,1.0,0.7388888888888889,0.5870098039215685,0.3933823529411765,0.30352564102564106,0.25929487179487176,0.18627450980392157,0.19699754901960784,0.15789473684210525,0.1481481481481481,0.12407407407407406,0.10079656862745098,0.10128205128205126,0.07988721804511278
A250,0.37948717948717947,0.7388888888888889,1.0,0.7212962962962963,0.5551378446115288,0.4703703703703703,0.33333333333333337,0.3293478260869565,0.26378446115288223,0.23161764705882354,0.21111111111111108,0.1682330827067669,0.16666666666666666,0.13095238095238093,0.13082107843137256
A350,0.27403846153846156,0.5870098039215685,0.7212962962962963,1.0,0.7944444444444445,0.5787377450980392,0.44318181818181823,0.3642769607843137,0.32550125313283207,0.26089743589743586,0.24907407407407406,0.19696969696969696,0.19351851851851853,0.18814102564102564,0.18333333333333332
A450,0.21969696969696972,0.3933823529411765,0.5551378446115288,0.7944444444444445,1.0,0.7805555555555554,0.6704545454545454,0.5606617647058824,0.5049019607843137,0.3611111111111111,0.325,0.32199754901960786,0.30256410256410254,0.23313492063492064,0.21271929824561403
B550,0.15625,0.30352564102564106,0.4703703703703703,0.5787377450980392,0.7805555555555554,1.0,0.7944444444444445,0.6706349206349206,0.6115196078431373,0.539828431372549,0.444551282051282,0.38055555555555554,0.36018518518518516,0.30092592592592593,0.25704656862745096
B650,0.11672794117647059,0.25929487179487176,0.33333333333333337,0.44318181818181823,0.6704545454545454,0.7944444444444445,1.0,0.8819444444444445,0.7565217391304349,0.6073717948717949,0.5287698412698413,0.46924603174603174,0.41762820512820514,0.2926282051282051,0.33114035087719296
B750,0.09710144927536231,0.18627450980392157,0.3293478260869565,0.3642769607843137,0.5606617647058824,0.6706349206349206,0.8819444444444445,1.0,0.862037037037037,0.7609126984126984,0.6666666666666666,0.5446428571428572,0.48949275362318845,0.4019423558897243,0.3900641025641026
B850,0.1037037037037037,0.19699754901960784,0.26378446115288223,0.32550125313283207,0.5049019607843137,0.6115196078431373,0.7565217391304349,0.862037037037037,1.0,0.8529411764705883,0.7666666666666667,0.6651348039215687,0.6127450980392157,0.47399749373433586,0.44546568627450983
B950,0.06314102564102564,0.15789473684210525,0.23161764705882354,0.26089743589743586,0.3611111111111111,0.539828431372549,0.6073717948717949,0.7609126984126984,0.8529411764705883,1.0,0.9037990196078431,0.7814814814814814,0.6703703703703704,0.5375939849624061,0.5287037037037037
C1050,0.05705128205128205,0.1481481481481481,0.21111111111111108,0.24907407407407406,0.325,0.444551282051282,0.5287698412698413,0.6666666666666666,0.7666666666666667,0.9037990196078431,1.0,0.8708333333333333,0.7481481481481482,0.663888888888889,0.6071428571428572
C1150,0.060968137254901966,0.12407407407407406,0.1682330827067669,0.19696969696969696,0.32199754901960786,0.38055555555555554,0.46924603174603174,0.5446428571428572,0.6651348039215687,0.7814814814814814,0.8708333333333333,1.0,0.8822055137844611,0.774749373433584,0.7294871794871796
C1250,0.05555555555555555,0.10079656862745098,0.16666666666666666,0.19351851851851853,0.30256410256410254,0.36018518518518516,0.41762820512820514,0.48949275362318845,0.6127450980392157,0.6703703703703704,0.7481481481481482,0.8822055137844611,1.0,0.8844975490196079,0.8268518518518517
C1350,0.029629629629629624,0.10128205128205126,0.13095238095238093,0.18814102564102564,0.23313492063492064,0.30092592592592593,0.2926282051282051,0.4019423558897243,0.47399749373433586,0.5375939849624061,0.663888888888889,0.774749373433584,0.8844975490196079,1.0,0.9203703703703703
C1450,0.03796296296296296,0.07988721804511278,0.13082107843137256,0.18333333333333332,0.21271929824561403,0.25704656862745096,0.33114035087719296,0.3900641025641026,0.44546568627450983,0.5287037037037037,0.6071428571428572,0.7294871794871796,0.8268518518518517,0.9203703703703703,1.0
