stim,A50,A150,A250,A350,A450,B550,B650,B750,B850,B950,C1050,C1150,C1250,C1350,C1450
A50,1.0,0.676470588235294,0.3680555555555556,0.25892857142857145,0.20555555555555555,0.1138392857142857,0.09226190476190477,0.06787330316742081,0.05165912518853694,0.02546296296296296,0.03943452380952381,0.02546296296296296,0.027777777777777776,0.02222222222222222,0.017857142857142856
A150,0.676470588235294,1.0,0.796875,0.5324074074074074,0.3244047619047619,0.28348214285714285,0.25,0.16666666666666666,0.1293363499245852,0.12121212121212119,0.11463046757164402,0.09970238095238093,0.0863095238095238,0.06674208144796379,0.08333333333333334
A250,0.3680555555555556,0.796875,1.0,0.7975113122171946,0.5949074074074074,0.5178571428571428,0.41889880952380953,0.318452380952381,0.24444444444444446,0.2319004524886878,0.19298245614035087,0.171875,0.15874811463046756,0.13888888888888887,0.1026785714285714
A350,0.25892857142857145,0.5324074074074074,0.7975113122171946,1.0,0.8166666666666667,0.6638755980861244,0.5654761904761905,0.4004629629629629,0.3480861244019139,0.32886904761904767,0.27455357142857145,0.2337962962962963,0.2106481481481481,0.17708333333333334,0.10972850678733029
A450,0.20555555555555555,0.3244047619047619,0.5949074074074074,0.8166666666666667,1.0,0.8171296296296297,0.7061011904761905,0.5925925925925926,0.47023809523809523,0.36990950226244346,0.35193452380952384,0.3213716108452951,0.252262443438914,0.18665158371040724,0.23039215686274508
B550,0.1138392857142857,0.28348214285714285,0.5178571428571428,0.6638755980861244,0.8171296296296297,1.0,0.8166666666666667,0.7106481481481481,0.5528273809523809,0.4642857142857143,0.385369532428356,0.3388888888888889,0.3340874811463047,0.2581845238095238,0.27604166666666663
B650,0.09226190476190477,0.25,0.41889880952380953,0.5654761904761905,0.7061011904761905,0.8166666666666667,1.0,0.861111111111111,0.7333333333333334,0.6666666666666667,0.5662202380952381,0.5148809523809523,0.4129464285714286,0.3,0.31666666666666665
B750,0.06787330316742081,0.16666666666666666,0.318452380952381,0.4004629629629629,0.5925925925925926,0.7106481481481481,0.861111111111111,1.0,0.8891369047619048,0.7787081339712919,0.6749999999999999,0.5773524720893142,0.5558213716108453,0.46800595238095233,0.35648148148148145
B850,0.05165912518853694,0.1293363499245852,0.24444444444444446,0.3480861244019139,0.47023809523809523,0.5528273809523809,0.7333333333333334,0.8891369047619048,1.0,0.8548644338118022,0.7888888888888889,0.6968325791855203,0.6574074074074074,0.5863095238095237,0.44984917043740574
B950,0.02546296296296296,0.12121212121212119,0.2319004524886878,0.32886904761904767,0.36990950226244346,0.4642857142857143,0.6666666666666667,0.7787081339712919,0.8548644338118022,1.0,0.8559577677224737,0.7745535714285714,0.7171945701357465,0.6973684210526315,0.5689792663476874
C1050,0.03943452380952381,0.11463046757164402,0.19298245614035087,0.27455357142857145,0.35193452380952384,0.385369532428356,0.5662202380952381,0.6749999999999999,0.7888888888888889,0.8559577677224737,1.0,0.8888888888888888,0.826923076923077,0.7199074074074074,0.6867559523809523
C1150,0.02546296296296296,0.09970238095238093,0.171875,0.2337962962962963,0.3213716108452951,0.3388888888888889,0.5148809523809523,0.5773524720893142,0.6968325791855203,0.7745535714285714,0.8888888888888888,1.0,0.8791666666666667,0.7909226190476191,0.7546296296296298
C1250,0.027777777777777776,0.0863095238095238,0.15874811463046756,0.2106481481481481,0.252262443438914,0.3340874811463047,0.4129464285714286,0.5558213716108453,0.6574074074074074,0.7171945701357465,0.826923076923077,0.8791666666666667,1.0,0.9027777777777777,0.7997737556561086
C1350,0.02222222222222222,0.06674208144796379,0.13888888888888887,0.17708333333333334,0.18665158371040724,0.2581845238095238,0.3,0.46800595238095233,0.5863095238095237,0.6973684210526315,0.7199074074074074,0.7909226190476191,0.9027777777777777,1.0,0.9699074074074074
C1450,0.017857142857142856,0.08333333333333334,0.1026785714285714,0.10972850678733029,0.23039215686274508,0.27604166666666663,0.31666666666666665,0.35648148148148145,0.44984917043740574,0.5689792663476874,0.6867559523809523,0.7546296296296298,0.7997737556561086,0.9699074074074074,1.0
