stim,A50,A150,A250,A350,A450,B550,B650,B750,B850,B950,C1050,C1150,C1250,C1350,C1450
A50,1.0,0.6680672268907564,0.4873949579831933,0.3625,0.2454861111111111,0.13760504201680673,0.10049019607843138,0.10644257703081231,0.06874999999999999,0.07443019943019943,0.05804843304843303,0.026388888888888882,0.03159722222222222,0.017857142857142856,0.015972222222222218
A150,0.6680672268907564,1.0,0.8019943019943019,0.5836894586894587,0.4375,0.3356060606060606,0.26820728291316526,0.26317663817663817,0.1911549707602339,0.16483918128654967,0.133406432748538,0.13425925925925924,0.1246345029239766,0.07602339181286548,0.06423611111111109
A250,0.4873949579831933,0.8019943019943019,1.0,0.8141025641025641,0.6488095238095237,0.4832621082621083,0.39254385964912286,0.3489583333333333,0.28541666666666665,0.21736111111111112,0.21794871794871795,0.15798611111111108,0.13958333333333334,0.09978991596638653,0.11869747899159663
A350,0.3625,0.5836894586894587,0.8141025641025641,1.0,0.8371848739495799,0.6663194444444445,0.5701566951566952,0.4373219373219373,0.3961805555555556,0.34507575757575754,0.2766106442577031,0.27847222222222223,0.21562499999999996,0.1699561403508772,0.1520833333333333
A450,0.2454861111111111,0.4375,0.6488095238095237,0.8371848739495799,1.0,0.864766081871345,0.7329861111111111,0.6151315789473684,0.5493055555555556,0.46011396011396016,0.3632575757575758,0.346125730994152,0.34615384615384615,0.2584033613445378,0.25243055555555555
B550,0.13760504201680673,0.3356060606060606,0.4832621082621083,0.6663194444444445,0.864766081871345,1.0,0.8431372549019608,0.7211538461538463,0.6295518207282913,0.5095029239766082,0.4798611111111111,0.4086805555555556,0.3684210526315789,0.3099415204678363,0.24929971988795513
B650,0.10049019607843138,0.26820728291316526,0.39254385964912286,0.5701566951566952,0.7329861111111111,0.8431372549019608,1.0,0.8896011396011396,0.716736694677871,0.6549242424242424,0.5489583333333333,0.5529970760233918,0.48958333333333337,0.39924242424242423,0.3307748538011696
B750,0.10644257703081231,0.26317663817663817,0.3489583333333333,0.4373219373219373,0.6151315789473684,0.7211538461538463,0.8896011396011396,1.0,0.9061624649859943,0.7465277777777778,0.6467086834733893,0.6160968660968661,0.5628654970760234,0.4743055555555556,0.4341736694677871
B850,0.06874999999999999,0.1911549707602339,0.28541666666666665,0.3961805555555556,0.5493055555555556,0.6295518207282913,0.716736694677871,0.9061624649859943,1.0,0.9100877192982456,0.8516081871345029,0.713235294117647,0.6557017543859649,0.6211484593837535,0.5010504201680672
B950,0.07443019943019943,0.16483918128654967,0.21736111111111112,0.34507575757575754,0.46011396011396016,0.5095029239766082,0.6549242424242424,0.7465277777777778,0.9100877192982456,1.0,0.9326923076923077,0.8284313725490197,0.7595238095238095,0.6887464387464388,0.6074929971988795
C1050,0.05804843304843303,0.133406432748538,0.21794871794871795,0.2766106442577031,0.3632575757575758,0.4798611111111111,0.5489583333333333,0.6467086834733893,0.8516081871345029,0.9326923076923077,1.0,0.9320175438596491,0.8649305555555555,0.7958333333333333,0.7104166666666667
C1150,0.026388888888888882,0.13425925925925924,0.15798611111111108,0.27847222222222223,0.346125730994152,0.4086805555555556,0.5529970760233918,0.6160968660968661,0.713235294117647,0.8284313725490197,0.9320175438596491,1.0,0.8974089635854341,0.8361344537815125,0.7645833333333333
C1250,0.03159722222222222,0.1246345029239766,0.13958333333333334,0.21562499999999996,0.34615384615384615,0.3684210526315789,0.48958333333333337,0.5628654970760234,0.6557017543859649,0.7595238095238095,0.8649305555555555,0.8974089635854341,1.0,0.9138888888888889,0.8350840336134453
C1350,0.017857142857142856,0.07602339181286548,0.09978991596638653,0.1699561403508772,0.2584033613445378,0.3099415204678363,0.39924242424242423,0.4743055555555556,0.6211484593837535,0.6887464387464388,0.7958333333333333,0.8361344537815125,0.9138888888888889,1.0,0.9326923076923077
C1450,0.015972222222222218,0.06423611111111109,0.11869747899159663,0.1520833333333333,0.25243055555555555,0.24929971988795513,0.3307748538011696,0.4341736694677871,0.5010504201680672,0.6074929971988795,0.7104166666666667,0.7645833333333333,0.8350840336134453,0.9326923076923077,1.0
