trial,block,stimId1,stimID2,category1,category2,response,rt,condition,id
1,0,A50,A350,Alpha,Alpha,0.0,25729,1,12352
2,0,A50,A450,Alpha,Alpha,0.0,4366,1,12352
3,0,A50,A250,Alpha,Alpha,0.9999999999999998,4331,1,12352
4,0,A50,B750,Alpha,Beta,0.0,2923,1,12352
5,0,A50,C1150,Alpha,Gamma,0.0,3011,1,12352
6,0,A50,B950,Alpha,Gamma,0.0,3102,1,12352
7,0,A50,T500,Alpha,Beta,0.9999999999999998,3637,1,12352
8,0,A50,T1000,Alpha,Gamma,0.0,3106,1,12352
9,0,A50,A150,Alpha,Alpha,3.0,5314,1,12352
10,0,A50,B650,Alpha,Beta,0.0,3566,1,12352
11,0,A50,C1050,Alpha,Gamma,0.0,1366,1,12352
12,0,A50,B550,Alpha,Beta,0.9999999999999998,3613,1,12352
13,0,A50,C1250,Alpha,Gamma,0.0,2724,1,12352
14,0,A50,B850,Alpha, Beta,0.0,1469,1,12352
2,1,A350,A450,Alpha,Alpha,5.0,3251,1,12352
3,1,A350,A250,Alpha,Alpha,4.0,2509,1,12352
4,1,A350,B750,Alpha,Beta,2.0,2896,1,12352
5,1,A350,C1150,Alpha,Gamma,0.9999999999999998,2539,1,12352
6,1,A350,B950,Alpha,Gamma,0.9999999999999998,1844,1,12352
7,1,A350,T500,Alpha,Beta,5.0,2946,1,12352
8,1,A350,T1000,Alpha,Gamma,0.9999999999999998,4210,1,12352
9,1,A350,A150,Alpha,Alpha,4.0,2808,1,12352
10,1,A350,B650,Alpha,Beta,2.0,2271,1,12352
11,1,A350,C1050,Alpha,Gamma,0.9999999999999998,2363,1,12352
12,1,A350,B550,Alpha,Beta,5.0,4371,1,12352
13,1,A350,C1250,Alpha,Gamma,0.9999999999999998,3459,1,12352
14,1,A350,B850,Alpha, Beta,2.0,2439,1,12352
3,2,A450,A250,Alpha,Alpha,4.0,2349,1,12352
4,2,A450,B750,Alpha,Beta,2.0,2236,1,12352
5,2,A450,C1150,Alpha,Gamma,0.9999999999999998,1954,1,12352
6,2,A450,B950,Alpha,Gamma,0.9999999999999998,1211,1,12352
7,2,A450,T500,Alpha,Beta,5.0,4112,1,12352
8,2,A450,T1000,Alpha,Gamma,2.0,3635,1,12352
9,2,A450,A150,Alpha,Alpha,2.0,2863,1,12352
10,2,A450,B650,Alpha,Beta,3.0,2035,1,12352
11,2,A450,C1050,Alpha,Gamma,2.0,1961,1,12352
12,2,A450,B550,Alpha,Beta,5.0,2793,1,12352
13,2,A450,C1250,Alpha,Gamma,2.0,2623,1,12352
14,2,A450,B850,Alpha, Beta,4.0,2349,1,12352
4,3,A250,B750,Alpha,Beta,3.0,3207,1,12352
5,3,A250,C1150,Alpha,Gamma,0.9999999999999998,2164,1,12352
6,3,A250,B950,Alpha,Gamma,0.9999999999999998,1237,1,12352
7,3,A250,T500,Alpha,Beta,4.0,2683,1,12352
8,3,A250,T1000,Alpha,Gamma,2.0,2006,1,12352
9,3,A250,A150,Alpha,Alpha,4.0,2436,1,12352
10,3,A250,B650,Alpha,Beta,2.0,3625,1,12352
11,3,A250,C1050,Alpha,Gamma,0.9999999999999998,2174,1,12352
12,3,A250,B550,Alpha,Beta,4.0,2246,1,12352
13,3,A250,C1250,Alpha,Gamma,0.9999999999999998,1954,1,12352
14,3,A250,B850,Alpha, Beta,2.0,2555,1,12352
5,4,B750,C1150,Beta,Gamma,5.0,2173,1,12352
6,4,B750,B950,Beta,Gamma,5.0,1557,1,12352
7,4,B750,T500,Beta,Beta,4.0,2053,1,12352
8,4,B750,T1000,Beta,Gamma,5.0,3321,1,12352
9,4,B750,A150,Beta,Alpha,2.0,2292,1,12352
10,4,B750,B650,Beta,Beta,5.0,2965,1,12352
11,4,B750,C1050,Beta,Gamma,4.0,3214,1,12352
12,4,B750,B550,Beta,Beta,4.0,1684,1,12352
13,4,B750,C1250,Beta,Gamma,3.0,1984,1,12352
14,4,B750,B850,Beta, Beta,5.0,3277,1,12352
6,5,C1150,B950,Gamma,Gamma,5.0,1449,1,12352
7,5,C1150,T500,Gamma,Beta,2.0,2320,1,12352
8,5,C1150,T1000,Gamma,Gamma,5.0,1936,1,12352
9,5,C1150,A150,Gamma,Alpha,0.9999999999999998,2562,1,12352
10,5,C1150,B650,Gamma,Beta,0.9999999999999998,1475,1,12352
11,5,C1150,C1050,Gamma,Gamma,5.0,2156,1,12352
12,5,C1150,B550,Gamma,Beta,3.0,2331,1,12352
13,5,C1150,C1250,Gamma,Gamma,6.0,4041,1,12352
14,5,C1150,B850,Gamma, Beta,5.0,2182,1,12352
7,6,B950,T500,Gamma,Beta,4.0,2207,1,12352
8,6,B950,T1000,Gamma,Gamma,6.0,2225,1,12352
9,6,B950,A150,Gamma,Alpha,0.9999999999999998,2177,1,12352
10,6,B950,B650,Gamma,Beta,4.0,1668,1,12352
11,6,B950,C1050,Gamma,Gamma,6.0,2343,1,12352
12,6,B950,B550,Gamma,Beta,4.0,2173,1,12352
13,6,B950,C1250,Gamma,Gamma,5.0,2029,1,12352
14,6,B950,B850,Gamma, Beta,6.0,2899,1,12352
8,7,T500,T1000,Beta,Gamma,2.0,2131,1,12352
9,7,T500,A150,Beta,Alpha,2.0,2210,1,12352
10,7,T500,B650,Beta,Beta,5.0,2459,1,12352
11,7,T500,C1050,Beta,Gamma,2.0,2068,1,12352
12,7,T500,B550,Beta,Beta,6.0,4226,1,12352
13,7,T500,C1250,Beta,Gamma,2.0,4171,1,12352
14,7,T500,B850,Beta, Beta,4.0,1948,1,12352
9,8,T1000,A150,Gamma,Alpha,0.9999999999999998,2613,1,12352
10,8,T1000,B650,Gamma,Beta,4.0,1986,1,12352
11,8,T1000,C1050,Gamma,Gamma,6.0,3060,1,12352
12,8,T1000,B550,Gamma,Beta,2.0,2431,1,12352
13,8,T1000,C1250,Gamma,Gamma,5.0,2252,1,12352
14,8,T1000,B850,Gamma, Beta,6.0,2338,1,12352
10,9,A150,B650,Alpha,Beta,2.0,3051,1,12352
11,9,A150,C1050,Alpha,Gamma,0.9999999999999998,1682,1,12352
12,9,A150,B550,Alpha,Beta,0.9999999999999998,1603,1,12352
13,9,A150,C1250,Alpha,Gamma,0.9999999999999998,1139,1,12352
14,9,A150,B850,Alpha, Beta,0.9999999999999998,1643,1,12352
11,10,B650,C1050,Beta,Gamma,4.0,2714,1,12352
12,10,B650,B550,Beta,Beta,5.0,1637,1,12352
13,10,B650,C1250,Beta,Gamma,3.0,2067,1,12352
14,10,B650,B850,Beta, Beta,4.0,1427,1,12352
12,11,C1050,B550,Gamma,Beta,3.0,1587,1,12352
13,11,C1050,C1250,Gamma,Gamma,5.0,1907,1,12352
14,11,C1050,B850,Gamma, Beta,5.0,2367,1,12352
13,12,B550,C1250,Beta,Gamma,3.0,1698,1,12352
14,12,B550,B850,Beta, Beta,3.0,2434,1,12352
14,13,C1250,B850,Gamma, Beta,3.0,1443,1,12352
1,0,C1150,C1050,Gamma,Gamma,4.0,14164,1,12357
2,0,C1150,A450,Gamma,Alpha,2.0,6671,1,12357
3,0,C1150,A350,Gamma,Alpha,0.9999999999999998,2450,1,12357
4,0,C1150,B550,Gamma,Beta,2.0,3086,1,12357
5,0,C1150,A150,Gamma,Alpha,0.0,2374,1,12357
6,0,C1150,A50,Gamma,Alpha,0.0,1345,1,12357
7,0,C1150,C1250,Gamma,Gamma,5.0,5912,1,12357
8,0,C1150,B650,Gamma,Beta,3.0,6020,1,12357
9,0,C1150,T1000,Gamma,Gamma,5.0,3705,1,12357
10,0,C1150,T500,Gamma,Beta,3.0,3258,1,12357
11,0,C1150,B850,Gamma, Beta,4.0,3662,1,12357
12,0,C1150,B750,Gamma,Beta,4.0,1555,1,12357
13,0,C1150,A250,Gamma,Alpha,2.0,3107,1,12357
14,0,C1150,B950,Gamma,Gamma,5.0,4324,1,12357
2,1,C1050,A450,Gamma,Alpha,2.0,3174,1,12357
3,1,C1050,A350,Gamma,Alpha,0.9999999999999998,3669,1,12357
4,1,C1050,B550,Gamma,Beta,3.0,3177,1,12357
5,1,C1050,A150,Gamma,Alpha,0.0,2576,1,12357
6,1,C1050,A50,Gamma,Alpha,0.0,2041,1,12357
7,1,C1050,C1250,Gamma,Gamma,5.0,3093,1,12357
8,1,C1050,B650,Gamma,Beta,0.9999999999999998,2985,1,12357
9,1,C1050,T1000,Gamma,Gamma,6.0,3112,1,12357
10,1,C1050,T500,Gamma,Beta,3.0,4674,1,12357
11,1,C1050,B850,Gamma, Beta,5.0,3574,1,12357
12,1,C1050,B750,Gamma,Beta,5.0,2526,1,12357
13,1,C1050,A250,Gamma,Alpha,0.9999999999999998,3007,1,12357
14,1,C1050,B950,Gamma,Gamma,6.0,3357,1,12357
3,2,A450,A350,Alpha,Alpha,5.0,3414,1,12357
4,2,A450,B550,Alpha,Beta,5.0,2011,1,12357
5,2,A450,A150,Alpha,Alpha,3.0,4938,1,12357
6,2,A450,A50,Alpha,Alpha,2.0,2324,1,12357
7,2,A450,C1250,Alpha,Gamma,0.0,6267,1,12357
8,2,A450,B650,Alpha,Beta,4.0,3518,1,12357
9,2,A450,T1000,Alpha,Gamma,2.0,3578,1,12357
10,2,A450,T500,Alpha,Beta,5.0,2464,1,12357
11,2,A450,B850,Alpha, Beta,3.0,2070,1,12357
12,2,A450,B750,Alpha,Beta,3.0,2480,1,12357
13,2,A450,A250,Alpha,Alpha,3.0,1010,1,12357
