trial,block,stimId,category,response,rt,condition,id,phase
0,0,A350,Alpha,6.0,9298,1,11296,typicality1
1,0,A50,Alpha,6.0,1396,1,11296,typicality1
2,0,A250,Alpha,6.0,697,1,11296,typicality1
3,0,A450,Alpha,6.0,768,1,11296,typicality1
4,0,A150,Alpha,6.0,610,1,11296,typicality1
0,0,A250,Alpha,5.0,29098,1,12142,typicality1
1,0,A150,Alpha,6.0,5219,1,12142,typicality1
2,0,A350,Alpha,6.0,2365,1,12142,typicality1
3,0,A50,Alpha,6.0,2716,1,12142,typicality1
4,0,A450,Alpha,6.0,2581,1,12142,typicality1
0,0,A150,Alpha,4.0,16685,1,12145,typicality1
1,0,A350,Alpha,4.0,2322,1,12145,typicality1
2,0,A250,Alpha,4.0,3445,1,12145,typicality1
3,0,A450,Alpha,3.0,4425,1,12145,typicality1
4,0,A50,Alpha,2.0,2603,1,12145,typicality1
0,0,A350,Alpha,6.0,18306,1,12162,typicality1
1,0,A250,Alpha,6.0,3814,1,12162,typicality1
2,0,A150,Alpha,6.0,775,1,12162,typicality1
3,0,A450,Alpha,6.0,822,1,12162,typicality1
4,0,A50,Alpha,6.0,1220,1,12162,typicality1
0,0,A450,Alpha,6.0,14076,1,12133,typicality1
1,0,A150,Alpha,4.0,5935,1,12133,typicality1
2,0,A50,Alpha,6.0,3395,1,12133,typicality1
3,0,A250,Alpha,6.0,2039,1,12133,typicality1
4,0,A350,Alpha,6.0,933,1,12133,typicality1
0,0,A450,Alpha,6.0,6159,1,12184,typicality1
1,0,A350,Alpha,6.0,1311,1,12184,typicality1
2,0,A250,Alpha,6.0,2267,1,12184,typicality1
3,0,A50,Alpha,6.0,600,1,12184,typicality1
4,0,A150,Alpha,6.0,1934,1,12184,typicality1
0,0,A150,Alpha,6.0,14517,1,12187,typicality1
1,0,A350,Alpha,6.0,4239,1,12187,typicality1
2,0,A50,Alpha,6.0,1652,1,12187,typicality1
3,0,A450,Alpha,6.0,1217,1,12187,typicality1
4,0,A250,Alpha,6.0,1479,1,12187,typicality1
0,0,A450,Alpha,2.0,24423,1,12190,typicality1
1,0,A50,Alpha,4.0,9497,1,12190,typicality1
2,0,A150,Alpha,3.0,3986,1,12190,typicality1
3,0,A250,Alpha,5.0,3995,1,12190,typicality1
4,0,A350,Alpha,5.0,4609,1,12190,typicality1
0,0,A250,Alpha,6.0,13407,1,12193,typicality1
1,0,A150,Alpha,6.0,8293,1,12193,typicality1
2,0,A50,Alpha,5.0,7028,1,12193,typicality1
3,0,A450,Alpha,6.0,6163,1,12193,typicality1
4,0,A350,Alpha,6.0,3875,1,12193,typicality1
0,0,A50,Alpha,5.0,22424,1,12196,typicality1
1,0,A150,Alpha,4.0,8555,1,12196,typicality1
2,0,A450,Alpha,3.0,6156,1,12196,typicality1
3,0,A350,Alpha,3.0,1129,1,12196,typicality1
4,0,A250,Alpha,3.0,1235,1,12196,typicality1
0,0,A150,Alpha,5.0,16524,1,12199,typicality1
1,0,A350,Alpha,6.0,4058,1,12199,typicality1
2,0,A450,Alpha,6.0,1106,1,12199,typicality1
3,0,A250,Alpha,5.0,4518,1,12199,typicality1
4,0,A50,Alpha,4.0,2379,1,12199,typicality1
0,0,A150,Alpha,4.0,22221,1,12202,typicality1
1,0,A350,Alpha,3.0,3708,1,12202,typicality1
2,0,A450,Alpha,3.0,4375,1,12202,typicality1
3,0,A250,Alpha,2.0,3551,1,12202,typicality1
4,0,A50,Alpha,0.9999999999999998,4518,1,12202,typicality1
0,0,A150,Alpha,3.0,8886,1,12218,typicality1
1,0,A250,Alpha,3.0,55113,1,12218,typicality1
2,0,A50,Alpha,3.0,1451,1,12218,typicality1
3,0,A350,Alpha,3.0,1000,1,12218,typicality1
4,0,A450,Alpha,3.0,534,1,12218,typicality1
0,0,A50,Alpha,2.0,20249,1,12221,typicality1
1,0,A250,Alpha,5.0,6762,1,12221,typicality1
2,0,A350,Alpha,4.0,2435,1,12221,typicality1
3,0,A450,Alpha,4.0,1611,1,12221,typicality1
4,0,A150,Alpha,3.0,4058,1,12221,typicality1
0,0,A250,Alpha,6.0,13257,1,12224,typicality1
1,0,A350,Alpha,6.0,2178,1,12224,typicality1
2,0,A50,Alpha,6.0,2237,1,12224,typicality1
3,0,A150,Alpha,5.0,3588,1,12224,typicality1
4,0,A450,Alpha,6.0,4730,1,12224,typicality1
0,0,A350,Alpha,5.0,16623,1,12136,typicality1
1,0,A50,Alpha,5.0,2080,1,12136,typicality1
2,0,A250,Alpha,5.0,2907,1,12136,typicality1
3,0,A450,Alpha,5.0,2061,1,12136,typicality1
4,0,A150,Alpha,5.0,1207,1,12136,typicality1
0,0,A450,Alpha,5.0,23913,1,12227,typicality1
1,0,A150,Alpha,5.0,1828,1,12227,typicality1
2,0,A250,Alpha,5.0,895,1,12227,typicality1
3,0,A50,Alpha,4.0,3529,1,12227,typicality1
4,0,A350,Alpha,5.0,2423,1,12227,typicality1
0,0,A450,Alpha,5.0,12696,1,12230,typicality1
1,0,A50,Alpha,2.0,2398,1,12230,typicality1
2,0,A250,Alpha,5.0,2851,1,12230,typicality1
3,0,A350,Alpha,5.0,3395,1,12230,typicality1
4,0,A150,Alpha,0.9999999999999998,3251,1,12230,typicality1
0,0,A50,Alpha,2.0,39820,1,12252,typicality1
1,0,A450,Alpha,5.0,6164,1,12252,typicality1
2,0,A350,Alpha,5.0,27632,1,12252,typicality1
3,0,A250,Alpha,3.0,7157,1,12252,typicality1
4,0,A150,Alpha,0.9999999999999998,4548,1,12252,typicality1
0,0,A450,Alpha,5.0,18664,1,12255,typicality1
1,0,A250,Alpha,3.0,3731,1,12255,typicality1
2,0,A50,Alpha,0.0,2420,1,12255,typicality1
3,0,A150,Alpha,2.0,4233,1,12255,typicality1
4,0,A350,Alpha,5.0,2492,1,12255,typicality1
0,0,A250,Alpha,5.0,42300,1,12258,typicality1
1,0,A50,Alpha,5.0,12329,1,12258,typicality1
2,0,A450,Alpha,5.0,1304,1,12258,typicality1
3,0,A150,Alpha,5.0,1286,1,12258,typicality1
4,0,A350,Alpha,5.0,1401,1,12258,typicality1
0,0,A350,Alpha,6.0,14412,1,12275,typicality1
1,0,A50,Alpha,6.0,5882,1,12275,typicality1
2,0,A250,Alpha,5.0,3796,1,12275,typicality1
3,0,A450,Alpha,5.0,4514,1,12275,typicality1
4,0,A150,Alpha,5.0,5149,1,12275,typicality1
0,0,A50,Alpha,6.0,14956,1,12278,typicality1
1,0,A450,Alpha,6.0,1873,1,12278,typicality1
2,0,A250,Alpha,6.0,723,1,12278,typicality1
3,0,A350,Alpha,6.0,1057,1,12278,typicality1
4,0,A150,Alpha,0.9999999999999998,3838,1,12278,typicality1
0,0,A50,Alpha,0.9999999999999998,25575,1,12283,typicality1
1,0,A150,Alpha,3.0,9076,1,12283,typicality1
2,0,A450,Alpha,4.0,21147,1,12283,typicality1
3,0,A250,Alpha,5.0,5711,1,12283,typicality1
4,0,A350,Alpha,4.0,5579,1,12283,typicality1
0,0,A350,Alpha,6.0,15220,1,12286,typicality1
1,0,A150,Alpha,6.0,7611,1,12286,typicality1
2,0,A250,Alpha,6.0,1130,1,12286,typicality1
3,0,A450,Alpha,6.0,1354,1,12286,typicality1
4,0,A50,Alpha,6.0,891,1,12286,typicality1
0,0,A150,Alpha,6.0,33610,1,12289,typicality1
1,0,A50,Alpha,6.0,4215,1,12289,typicality1
2,0,A350,Alpha,6.0,2509,1,12289,typicality1
3,0,A450,Alpha,6.0,3280,1,12289,typicality1
4,0,A250,Alpha,6.0,2303,1,12289,typicality1
0,0,A450,Alpha,5.0,12503,1,12139,typicality1
1,0,A150,Alpha,5.0,3063,1,12139,typicality1
2,0,A50,Alpha,4.0,9153,1,12139,typicality1
3,0,A250,Alpha,6.0,3699,1,12139,typicality1
4,0,A350,Alpha,6.0,1909,1,12139,typicality1
0,0,A250,Alpha,3.0,28752,1,12298,typicality1
1,0,A350,Alpha,4.0,5729,1,12298,typicality1
2,0,A450,Alpha,4.0,3211,1,12298,typicality1
3,0,A150,Alpha,2.0,3590,1,12298,typicality1
4,0,A50,Alpha,3.0,2924,1,12298,typicality1
0,0,A350,Alpha,3.0,30363,1,12313,typicality1
1,0,A150,Alpha,0.9999999999999998,5021,1,12313,typicality1
2,0,A250,Alpha,0.9999999999999998,4681,1,12313,typicality1
3,0,A50,Alpha,0.0,3819,1,12313,typicality1
4,0,A450,Alpha,4.0,2648,1,12313,typicality1
0,0,A450,Alpha,5.0,9125,1,12317,typicality1
1,0,A50,Alpha,5.0,3011,1,12317,typicality1
2,0,A350,Alpha,5.0,1833,1,12317,typicality1
3,0,A250,Alpha,3.0,3647,1,12317,typicality1
4,0,A150,Alpha,3.0,1220,1,12317,typicality1
0,0,A350,Alpha,6.0,23197,1,12320,typicality1
1,0,A150,Alpha,3.0,17414,1,12320,typicality1
