trial,block,stimId1,stimID2,category1,category2,response,rt,condition,id,phase
1,0,A50,B750,Beta,Beta,0.9999999999999998,1948,2,12143,similarity
2,0,A50,B550,Alpha,Beta,4.0,1194,2,12143,similarity
3,0,A50,B850,Alpha,Beta,3.0,1827,2,12143,similarity
4,0,A50,C1250,Alpha,Gamma,4.0,684,2,12143,similarity
5,0,A50,C1050,Alpha,Gamma,3.0,883,2,12143,similarity
6,0,A50,A150,Alpha,Alpha,5.0,810,2,12143,similarity
7,0,A50,A350,Alpha,Alpha,5.0,722,2,12143,similarity
8,0,A50,C1150,Alpha,Gamma,5.0,3414,2,12143,similarity
9,0,A50,C1350,Alpha,Gamma,0.9999999999999998,2235,2,12143,similarity
10,0,A50,C1450,Alpha,Gamma,0.9999999999999998,323,2,12143,similarity
11,0,A50,B650,Alpha,Beta,0.9999999999999998,460,2,12143,similarity
12,0,A50,A250,Alpha,Alpha,0.9999999999999998,460,2,12143,similarity
13,0,A50,B950,Alpha, Beta,0.9999999999999998,2142,2,12143,similarity
14,0,A50,A450,Alpha,Alpha,2.0,994,2,12143,similarity
2,1,B750,B550,Beta,Beta,2.0,191,2,12143,similarity
3,1,B750,B850,Beta,Beta,2.0,573,2,12143,similarity
4,1,B750,C1250,Beta,Gamma,4.0,1023,2,12143,similarity
5,1,B750,C1050,Beta,Gamma,4.0,331,2,12143,similarity
6,1,B750,A150,Beta,Alpha,4.0,143,2,12143,similarity
7,1,B750,A350,Beta,Alpha,3.0,1105,2,12143,similarity
8,1,B750,C1150,Beta,Gamma,3.0,163,2,12143,similarity
9,1,B750,C1350,Beta,Gamma,4.0,1051,2,12143,similarity
10,1,B750,C1450,Beta,Gamma,4.0,1234,2,12143,similarity
11,1,B750,B650,Beta,Beta,4.0,79,2,12143,similarity
12,1,B750,A250,Beta,Alpha,4.0,228,2,12143,similarity
13,1,B750,B950,Beta, Beta,4.0,1243,2,12143,similarity
14,1,B750,A450,Beta,Alpha,4.0,103,2,12143,similarity
3,2,B550,B850,Beta,Beta,4.0,170,2,12143,similarity
4,2,B550,C1250,Beta,Gamma,5.0,1818,2,12143,similarity
5,2,B550,C1050,Beta,Gamma,5.0,349,2,12143,similarity
6,2,B550,A150,Beta,Alpha,2.0,1604,2,12143,similarity
7,2,B550,A350,Beta,Alpha,3.0,1018,2,12143,similarity
8,2,B550,C1150,Beta,Gamma,3.0,274,2,12143,similarity
9,2,B550,C1350,Beta,Gamma,4.0,747,2,12143,similarity
10,2,B550,C1450,Beta,Gamma,4.0,199,2,12143,similarity
11,2,B550,B650,Beta,Beta,3.0,762,2,12143,similarity
12,2,B550,A250,Beta,Alpha,5.0,859,2,12143,similarity
13,2,B550,B950,Beta, Beta,5.0,241,2,12143,similarity
14,2,B550,A450,Beta,Alpha,5.0,1219,2,12143,similarity
4,3,B850,C1250,Beta,Gamma,3.0,1363,2,12143,similarity
5,3,B850,C1050,Beta,Gamma,3.0,3505,2,12143,similarity
6,3,B850,A150,Beta,Alpha,3.0,312,2,12143,similarity
7,3,B850,A350,Beta,Alpha,2.0,1257,2,12143,similarity
8,3,B850,C1150,Beta,Gamma,4.0,1122,2,12143,similarity
9,3,B850,C1350,Beta,Gamma,4.0,448,2,12143,similarity
10,3,B850,C1450,Beta,Gamma,4.0,1724,2,12143,similarity
11,3,B850,B650,Beta,Beta,6.0,1980,2,12143,similarity
12,3,B850,A250,Beta,Alpha,6.0,829,2,12143,similarity
13,3,B850,B950,Beta, Beta,5.0,1971,2,12143,similarity
14,3,B850,A450,Beta,Alpha,5.0,394,2,12143,similarity
5,4,C1250,C1050,Gamma,Gamma,5.0,834,2,12143,similarity
6,4,C1250,A150,Gamma,Alpha,2.0,1569,2,12143,similarity
7,4,C1250,A350,Gamma,Alpha,2.0,450,2,12143,similarity
8,4,C1250,C1150,Gamma,Gamma,2.0,654,2,12143,similarity
9,4,C1250,C1350,Gamma,Gamma,5.0,1291,2,12143,similarity
10,4,C1250,C1450,Gamma,Gamma,5.0,704,2,12143,similarity
11,4,C1250,B650,Gamma,Beta,5.0,651,2,12143,similarity
12,4,C1250,A250,Gamma,Alpha,4.0,963,2,12143,similarity
13,4,C1250,B950,Gamma, Beta,4.0,345,2,12143,similarity
14,4,C1250,A450,Gamma,Alpha,5.0,1078,2,12143,similarity
6,5,C1050,A150,Gamma,Alpha,5.0,520,2,12143,similarity
7,5,C1050,A350,Gamma,Alpha,3.0,1034,2,12143,similarity
8,5,C1050,C1150,Gamma,Gamma,3.0,259,2,12143,similarity
9,5,C1050,C1350,Gamma,Gamma,3.0,101,2,12143,similarity
10,5,C1050,C1450,Gamma,Gamma,6.0,971,2,12143,similarity
11,5,C1050,B650,Gamma,Beta,5.0,1228,2,12143,similarity
12,5,C1050,A250,Gamma,Alpha,5.0,183,2,12143,similarity
13,5,C1050,B950,Gamma, Beta,5.0,216,2,12143,similarity
14,5,C1050,A450,Gamma,Alpha,5.0,443,2,12143,similarity
7,6,A150,A350,Alpha,Alpha,5.0,253,2,12143,similarity
8,6,A150,C1150,Alpha,Gamma,4.0,1265,2,12143,similarity
9,6,A150,C1350,Alpha,Gamma,4.0,187,2,12143,similarity
10,6,A150,C1450,Alpha,Gamma,4.0,373,2,12143,similarity
11,6,A150,B650,Alpha,Beta,4.0,362,2,12143,similarity
12,6,A150,A250,Alpha,Alpha,4.0,271,2,12143,similarity
13,6,A150,B950,Alpha, Beta,4.0,371,2,12143,similarity
14,6,A150,A450,Alpha,Alpha,4.0,371,2,12143,similarity
8,7,A350,C1150,Alpha,Gamma,3.0,2707,2,12143,similarity
9,7,A350,C1350,Alpha,Gamma,3.0,316,2,12143,similarity
10,7,A350,C1450,Alpha,Gamma,5.0,1137,2,12143,similarity
11,7,A350,B650,Alpha,Beta,5.0,344,2,12143,similarity
12,7,A350,A250,Alpha,Alpha,3.0,1499,2,12143,similarity
13,7,A350,B950,Alpha, Beta,2.0,1627,2,12143,similarity
14,7,A350,A450,Alpha,Alpha,2.0,682,2,12143,similarity
9,8,C1150,C1350,Gamma,Gamma,3.0,851,2,12143,similarity
10,8,C1150,C1450,Gamma,Gamma,2.0,786,2,12143,similarity
11,8,C1150,B650,Gamma,Beta,0.9999999999999998,866,2,12143,similarity
12,8,C1150,A250,Gamma,Alpha,2.0,992,2,12143,similarity
13,8,C1150,B950,Gamma, Beta,3.0,698,2,12143,similarity
14,8,C1150,A450,Gamma,Alpha,3.0,205,2,12143,similarity
10,9,C1350,C1450,Gamma,Gamma,4.0,674,2,12143,similarity
11,9,C1350,B650,Gamma,Beta,4.0,171,2,12143,similarity
12,9,C1350,A250,Gamma,Alpha,3.0,770,2,12143,similarity
13,9,C1350,B950,Gamma, Beta,3.0,288,2,12143,similarity
14,9,C1350,A450,Gamma,Alpha,2.0,778,2,12143,similarity
11,10,C1450,B650,Gamma,Beta,3.0,1003,2,12143,similarity
12,10,C1450,A250,Gamma,Alpha,4.0,602,2,12143,similarity
13,10,C1450,B950,Gamma, Beta,3.0,795,2,12143,similarity
14,10,C1450,A450,Gamma,Alpha,2.0,691,2,12143,similarity
12,11,B650,A250,Beta,Alpha,3.0,1218,2,12143,similarity
13,11,B650,B950,Beta, Beta,4.0,4946,2,12143,similarity
14,11,B650,A450,Beta,Alpha,4.0,535,2,12143,similarity
13,12,A250,B950,Alpha, Beta,3.0,1011,2,12143,similarity
14,12,A250,A450,Alpha,Alpha,3.0,1081,2,12143,similarity
14,13,B950,A450, Beta,Alpha,4.0,690,2,12143,similarity
1,0,C1250,A250,Alpha,Alpha,0.0,4057,2,12160,similarity
2,0,C1250,B750,Gamma,Beta,0.9999999999999998,5683,2,12160,similarity
3,0,C1250,B850,Gamma,Beta,2.0,2330,2,12160,similarity
4,0,C1250,C1050,Gamma,Gamma,3.0,2098,2,12160,similarity
5,0,C1250,B550,Gamma,Beta,0.9999999999999998,2464,2,12160,similarity
6,0,C1250,C1150,Gamma,Gamma,4.0,2332,2,12160,similarity
7,0,C1250,B950,Gamma, Beta,3.0,1546,2,12160,similarity
8,0,C1250,A50,Gamma,Alpha,0.0,2659,2,12160,similarity
9,0,C1250,A150,Gamma,Alpha,0.0,1363,2,12160,similarity
10,0,C1250,B650,Gamma,Beta,2.0,2932,2,12160,similarity
11,0,C1250,C1450,Gamma,Gamma,5.0,4653,2,12160,similarity
12,0,C1250,A450,Gamma,Alpha,2.0,3572,2,12160,similarity
13,0,C1250,C1350,Gamma,Gamma,5.0,2578,2,12160,similarity
14,0,C1250,A350,Gamma,Alpha,0.9999999999999998,6722,2,12160,similarity
2,1,A250,B750,Alpha,Beta,0.9999999999999998,3599,2,12160,similarity
3,1,A250,B850,Alpha,Beta,0.0,2043,2,12160,similarity
4,1,A250,C1050,Alpha,Gamma,0.0,1074,2,12160,similarity
5,1,A250,B550,Alpha,Beta,0.9999999999999998,2159,2,12160,similarity
6,1,A250,C1150,Alpha,Gamma,0.0,2027,2,12160,similarity
7,1,A250,B950,Alpha, Beta,0.0,824,2,12160,similarity
8,1,A250,A50,Alpha,Alpha,0.9999999999999998,3155,2,12160,similarity
9,1,A250,A150,Alpha,Alpha,2.0,1881,2,12160,similarity
10,1,A250,B650,Alpha,Beta,2.0,2864,2,12160,similarity
11,1,A250,C1450,Alpha,Gamma,0.0,2667,2,12160,similarity
12,1,A250,A450,Alpha,Alpha,3.0,13171,2,12160,similarity
13,1,A250,C1350,Alpha,Gamma,0.0,1844,2,12160,similarity
14,1,A250,A350,Alpha,Alpha,3.0,2406,2,12160,similarity
3,2,B750,B850,Beta,Beta,4.0,1717,2,12160,similarity
4,2,B750,C1050,Beta,Gamma,3.0,1679,2,12160,similarity
5,2,B750,B550,Beta,Beta,3.0,2697,2,12160,similarity
6,2,B750,C1150,Beta,Gamma,2.0,2075,2,12160,similarity
7,2,B750,B950,Beta, Beta,4.0,7605,2,12160,similarity
8,2,B750,A50,Beta,Alpha,0.0,1724,2,12160,similarity
9,2,B750,A150,Beta,Alpha,0.0,1115,2,12160,similarity
10,2,B750,B650,Beta,Beta,3.0,2321,2,12160,similarity
11,2,B750,C1450,Beta,Gamma,2.0,2712,2,12160,similarity
12,2,B750,A450,Beta,Alpha,2.0,8660,2,12160,similarity
13,2,B750,C1350,Beta,Gamma,0.9999999999999998,6782,2,12160,similarity
14,2,B750,A350,Beta,Alpha,0.9999999999999998,1787,2,12160,similarity
4,3,B850,C1050,Beta,Gamma,3.0,3259,2,12160,similarity
5,3,B850,B550,Beta,Beta,2.0,2952,2,12160,similarity
6,3,B850,C1150,Beta,Gamma,4.0,4505,2,12160,similarity
7,3,B850,B950,Beta, Beta,4.0,1425,2,12160,similarity
8,3,B850,A50,Beta,Alpha,0.0,1690,2,12160,similarity
9,3,B850,A150,Beta,Alpha,0.0,2290,2,12160,similarity
10,3,B850,B650,Beta,Beta,3.0,6278,2,12160,similarity
11,3,B850,C1450,Beta,Gamma,2.0,3812,2,12160,similarity
12,3,B850,A450,Beta,Alpha,0.9999999999999998,1795,2,12160,similarity
13,3,B850,C1350,Beta,Gamma,0.9999999999999998,2010,2,12160,similarity
14,3,B850,A350,Beta,Alpha,0.9999999999999998,3276,2,12160,similarity
5,4,C1050,B550,Gamma,Beta,0.9999999999999998,1306,2,12160,similarity
6,4,C1050,C1150,Gamma,Gamma,4.0,2702,2,12160,similarity
7,4,C1050,B950,Gamma, Beta,5.0,4242,2,12160,similarity
8,4,C1050,A50,Gamma,Alpha,0.0,1804,2,12160,similarity
9,4,C1050,A150,Gamma,Alpha,0.0,1020,2,12160,similarity
10,4,C1050,B650,Gamma,Beta,0.9999999999999998,2776,2,12160,similarity
11,4,C1050,C1450,Gamma,Gamma,0.9999999999999998,3206,2,12160,similarity
12,4,C1050,A450,Gamma,Alpha,0.9999999999999998,3132,2,12160,similarity
13,4,C1050,C1350,Gamma,Gamma,3.0,2960,2,12160,similarity
14,4,C1050,A350,Gamma,Alpha,0.9999999999999998,5459,2,12160,similarity
6,5,B550,C1150,Beta,Gamma,0.9999999999999998,1578,2,12160,similarity
7,5,B550,B950,Beta, Beta,0.9999999999999998,662,2,12160,similarity
8,5,B550,A50,Beta,Alpha,0.0,2149,2,12160,similarity
9,5,B550,A150,Beta,Alpha,0.0,931,2,12160,similarity
10,5,B550,B650,Beta,Beta,3.0,2050,2,12160,similarity
11,5,B550,C1450,Beta,Gamma,0.9999999999999998,2428,2,12160,similarity
