trial,block,stimId,category,response,rt,condition,id,phase
0,0,A50,Alpha,a,2415,2,12143,study
1,0,A350,Alpha,a,1242,2,12143,study
2,0,A450,Alpha,a,612,2,12143,study
3,0,A150,Alpha,a,2781,2,12143,study
4,0,A250,Alpha,a,476,2,12143,study
0,1,A450,Alpha,a,425,2,12143,study
1,1,A250,Alpha,a,391,2,12143,study
2,1,A150,Alpha,a,335,2,12143,study
3,1,A350,Alpha,a,10141,2,12143,study
4,1,A50,Alpha,a,1072,2,12143,study
0,2,A350,Alpha,a,627,2,12143,study
1,2,A150,Alpha,a,458,2,12143,study
2,2,A50,Alpha,a,359,2,12143,study
3,2,A250,Alpha,a,809,2,12143,study
4,2,A450,Alpha,a,839,2,12143,study
0,3,A150,Alpha,a,638,2,12143,study
1,3,A450,Alpha,a,1382,2,12143,study
2,3,A50,Alpha,a,1187,2,12143,study
3,3,A350,Alpha,a,787,2,12143,study
4,3,A250,Alpha,a,612,2,12143,study
0,4,A250,Alpha,a,642,2,12143,study
1,4,A50,Alpha,a,751,2,12143,study
2,4,A150,Alpha,a,489,2,12143,study
3,4,A450,Alpha,a,564,2,12143,study
4,4,A350,Alpha,a,452,2,12143,study
0,0,A150,Alpha,a,7174,2,12160,study
1,0,A350,Alpha,a,5677,2,12160,study
2,0,A450,Alpha,a,1773,2,12160,study
3,0,A250,Alpha,a,2501,2,12160,study
4,0,A50,Alpha,a,1182,2,12160,study
0,1,A50,Alpha,a,1208,2,12160,study
1,1,A150,Alpha,a,3687,2,12160,study
2,1,A450,Alpha,a,901,2,12160,study
3,1,A250,Alpha,a,1094,2,12160,study
4,1,A350,Alpha,a,709,2,12160,study
0,2,A450,Alpha,a,586,2,12160,study
1,2,A250,Alpha,a,1098,2,12160,study
2,2,A350,Alpha,a,1501,2,12160,study
3,2,A150,Alpha,a,849,2,12160,study
4,2,A50,Alpha,a,775,2,12160,study
0,3,A450,Alpha,a,967,2,12160,study
1,3,A350,Alpha,a,790,2,12160,study
2,3,A50,Alpha,a,784,2,12160,study
3,3,A150,Alpha,a,968,2,12160,study
4,3,A250,Alpha,a,865,2,12160,study
0,4,A450,Alpha,a,828,2,12160,study
1,4,A50,Alpha,a,1330,2,12160,study
2,4,A350,Alpha,a,893,2,12160,study
3,4,A150,Alpha,a,920,2,12160,study
4,4,A250,Alpha,a,755,2,12160,study
0,0,A450,Alpha,a,6140,2,12163,study
1,0,A350,Alpha,a,4418,2,12163,study
2,0,A250,Alpha,a,3573,2,12163,study
3,0,A150,Alpha,a,2388,2,12163,study
4,0,A50,Alpha,a,2443,2,12163,study
0,1,A150,Alpha,a,2516,2,12163,study
1,1,A50,Alpha,a,2821,2,12163,study
2,1,A450,Alpha,a,2528,2,12163,study
3,1,A250,Alpha,a,3258,2,12163,study
4,1,A350,Alpha,a,3902,2,12163,study
0,2,A50,Alpha,a,2471,2,12163,study
1,2,A350,Alpha,a,3936,2,12163,study
2,2,A250,Alpha,a,2540,2,12163,study
3,2,A450,Alpha,a,3193,2,12163,study
4,2,A150,Alpha,a,4140,2,12163,study
0,3,A250,Alpha,a,3606,2,12163,study
1,3,A50,Alpha,a,2899,2,12163,study
2,3,A350,Alpha,a,3982,2,12163,study
3,3,A150,Alpha,a,2917,2,12163,study
4,3,A450,Alpha,a,3767,2,12163,study
0,4,A250,Alpha,a,3079,2,12163,study
1,4,A350,Alpha,a,3202,2,12163,study
2,4,A450,Alpha,a,2408,2,12163,study
3,4,A150,Alpha,a,3807,2,12163,study
4,4,A50,Alpha,a,3269,2,12163,study
0,0,A450,Alpha,a,4252,2,12185,study
1,0,A250,Alpha,a,1858,2,12185,study
2,0,A50,Alpha,a,1597,2,12185,study
3,0,A150,Alpha,a,3332,2,12185,study
4,0,A350,Alpha,a,2493,2,12185,study
0,1,A450,Alpha,a,1456,2,12185,study
1,1,A350,Alpha,a,1468,2,12185,study
2,1,A150,Alpha,a,1185,2,12185,study
3,1,A50,Alpha,a,1056,2,12185,study
4,1,A250,Alpha,a,2309,2,12185,study
0,2,A250,Alpha,a,823,2,12185,study
1,2,A50,Alpha,a,983,2,12185,study
2,2,A150,Alpha,a,918,2,12185,study
