trial,block,stimId,category,response,accuracy,rt,condition,id,phase
0,0,A150,Alpha,Alpha,TRUE,2245,3,12141,testPhase
1,0,C1050,Gamma,Gamma,TRUE,1465,3,12141,testPhase
2,0,A450,Alpha,Alpha,TRUE,1922,3,12141,testPhase
3,0,A350,Alpha,Alpha,TRUE,1014,3,12141,testPhase
4,0,T1000,test,Gamma,FALSE,976,3,12141,testPhase
5,0,T500,test,Beta,FALSE,789,3,12141,testPhase
6,0,B550,Beta,Beta,TRUE,860,3,12141,testPhase
7,0,A250,Alpha,Alpha,TRUE,912,3,12141,testPhase
8,0,C1150,Gamma,Gamma,TRUE,968,3,12141,testPhase
9,0,C1450,Gamma,Gamma,TRUE,851,3,12141,testPhase
10,0,B850,Beta,Beta,TRUE,1942,3,12141,testPhase
11,0,C1250,Gamma,Gamma,TRUE,1301,3,12141,testPhase
12,0,A50,Alpha,Alpha,TRUE,910,3,12141,testPhase
13,0,B750,Beta,Beta,TRUE,766,3,12141,testPhase
14,0,B950, Beta,Gamma,FALSE,3158,3,12141,testPhase
15,0,B650,Beta,Beta,TRUE,739,3,12141,testPhase
16,0,C1350,Gamma,Gamma,TRUE,1078,3,12141,testPhase
0,0,A150,Alpha,Alpha,TRUE,2452,3,12144,testPhase
1,0,A450,Alpha,Beta,FALSE,2307,3,12144,testPhase
2,0,T1000,test,Beta,FALSE,1858,3,12144,testPhase
3,0,A50,Alpha,Alpha,TRUE,1052,3,12144,testPhase
4,0,B650,Beta,Beta,TRUE,896,3,12144,testPhase
5,0,B550,Beta,Beta,TRUE,983,3,12144,testPhase
6,0,B850,Beta,Gamma,FALSE,978,3,12144,testPhase
7,0,C1450,Gamma,Gamma,TRUE,743,3,12144,testPhase
8,0,C1050,Gamma,Gamma,TRUE,957,3,12144,testPhase
9,0,C1350,Gamma,Gamma,TRUE,901,3,12144,testPhase
10,0,C1250,Gamma,Gamma,TRUE,1058,3,12144,testPhase
11,0,B950, Beta,Gamma,FALSE,2546,3,12144,testPhase
12,0,T500,test,Beta,FALSE,1321,3,12144,testPhase
13,0,A250,Alpha,Alpha,TRUE,1594,3,12144,testPhase
14,0,A350,Alpha,Beta,FALSE,1077,3,12144,testPhase
15,0,C1150,Gamma,Gamma,TRUE,934,3,12144,testPhase
16,0,B750,Beta,Gamma,FALSE,843,3,12144,testPhase
0,0,T1000,test,Beta,FALSE,3566,3,12161,testPhase
1,0,A50,Alpha,Alpha,TRUE,1665,3,12161,testPhase
2,0,A250,Alpha,Alpha,TRUE,6775,3,12161,testPhase
3,0,A350,Alpha,Beta,FALSE,4966,3,12161,testPhase
4,0,B650,Beta,Beta,TRUE,1862,3,12161,testPhase
5,0,B850,Beta,Beta,TRUE,3055,3,12161,testPhase
6,0,T500,test,Beta,FALSE,3848,3,12161,testPhase
7,0,C1350,Gamma,Gamma,TRUE,1656,3,12161,testPhase
8,0,C1150,Gamma,Gamma,TRUE,1410,3,12161,testPhase
9,0,B750,Beta,Beta,TRUE,1785,3,12161,testPhase
10,0,A450,Alpha,Beta,FALSE,4016,3,12161,testPhase
11,0,C1450,Gamma,Gamma,TRUE,2629,3,12161,testPhase
12,0,B550,Beta,Beta,TRUE,1920,3,12161,testPhase
13,0,C1250,Gamma,Gamma,TRUE,3858,3,12161,testPhase
14,0,C1050,Gamma,Gamma,TRUE,5819,3,12161,testPhase
15,0,B950, Beta,Gamma,FALSE,5478,3,12161,testPhase
16,0,A150,Alpha,Alpha,TRUE,1494,3,12161,testPhase
0,0,C1350,Gamma,Gamma,TRUE,2484,3,12183,testPhase
1,0,T1000,test,Beta,FALSE,2833,3,12183,testPhase
2,0,A250,Alpha,Alpha,TRUE,807,3,12183,testPhase
3,0,A50,Alpha,Alpha,TRUE,878,3,12183,testPhase
4,0,A150,Alpha,Alpha,TRUE,882,3,12183,testPhase
5,0,A350,Alpha,Beta,FALSE,778,3,12183,testPhase
6,0,B950,Beta,Beta,TRUE,2111,3,12183,testPhase
7,0,C1250,Gamma,Gamma,TRUE,654,3,12183,testPhase
8,0,B650,Beta,Beta,TRUE,1089,3,12183,testPhase
9,0,C1150,Gamma,Gamma,TRUE,825,3,12183,testPhase
10,0,C1450,Gamma,Gamma,TRUE,1150,3,12183,testPhase
11,0,B850,Beta,Gamma,FALSE,1516,3,12183,testPhase
12,0,B750,Beta,Beta,TRUE,989,3,12183,testPhase
13,0,B550,Beta,Beta,TRUE,1013,3,12183,testPhase
14,0,A450,Alpha,Alpha,TRUE,1510,3,12183,testPhase
15,0,C1050,Gamma,Gamma,TRUE,1117,3,12183,testPhase
16,0,T500,test,Beta,FALSE,973,3,12183,testPhase
0,0,C1350,Gamma,Gamma,TRUE,1484,3,12186,testPhase
1,0,B650,Beta,Beta,TRUE,1489,3,12186,testPhase
2,0,T1000,test,Gamma,FALSE,2822,3,12186,testPhase
3,0,A450,Alpha,Alpha,TRUE,1325,3,12186,testPhase
4,0,B550,Beta,Beta,TRUE,4193,3,12186,testPhase
5,0,C1050,Gamma,Gamma,TRUE,1201,3,12186,testPhase
6,0,A250,Alpha,Alpha,TRUE,1090,3,12186,testPhase
7,0,B950, Beta,Gamma,FALSE,1301,3,12186,testPhase
8,0,B850,Beta,Gamma,FALSE,1581,3,12186,testPhase
9,0,A350,Alpha,Alpha,TRUE,1051,3,12186,testPhase
10,0,C1150,Gamma,Gamma,TRUE,934,3,12186,testPhase
11,0,C1250,Gamma,Gamma,TRUE,1130,3,12186,testPhase
12,0,B750,Beta,Gamma,FALSE,4486,3,12186,testPhase
13,0,A50,Alpha,Alpha,TRUE,1003,3,12186,testPhase
14,0,T500,test,Beta,FALSE,949,3,12186,testPhase
15,0,C1450,Gamma,Gamma,TRUE,856,3,12186,testPhase
16,0,A150,Alpha,Alpha,TRUE,985,3,12186,testPhase
0,0,A50,Alpha,Alpha,TRUE,2651,3,12189,testPhase
1,0,B950, Beta,Gamma,FALSE,11774,3,12189,testPhase
2,0,B750,Beta,Beta,TRUE,1544,3,12189,testPhase
3,0,T500,test,Beta,FALSE,1023,3,12189,testPhase
4,0,A150,Alpha,Alpha,TRUE,1176,3,12189,testPhase
5,0,C1150,Gamma,Gamma,TRUE,1291,3,12189,testPhase
6,0,C1250,Gamma,Gamma,TRUE,1066,3,12189,testPhase
7,0,C1350,Gamma,Gamma,TRUE,913,3,12189,testPhase
8,0,B850,Beta,Gamma,FALSE,32373,3,12189,testPhase
9,0,A350,Alpha,Beta,FALSE,1676,3,12189,testPhase
10,0,C1450,Gamma,Gamma,TRUE,1024,3,12189,testPhase
11,0,C1050,Gamma,Gamma,TRUE,3219,3,12189,testPhase
12,0,B650,Beta,Beta,TRUE,1430,3,12189,testPhase
13,0,T1000,test,Gamma,FALSE,3195,3,12189,testPhase
14,0,A250,Alpha,Alpha,TRUE,2900,3,12189,testPhase
15,0,A450,Alpha,Beta,FALSE,2287,3,12189,testPhase
16,0,B550,Beta,Beta,TRUE,1610,3,12189,testPhase
0,0,C1450,Gamma,Gamma,TRUE,2065,3,12195,testPhase
1,0,B650,Beta,Beta,TRUE,3581,3,12195,testPhase
2,0,T500,test,Beta,FALSE,2598,3,12195,testPhase
3,0,T1000,test,Gamma,FALSE,16488,3,12195,testPhase
4,0,A150,Alpha,Alpha,TRUE,1069,3,12195,testPhase
5,0,B950,Beta,Beta,TRUE,1934,3,12195,testPhase
6,0,A350,Alpha,Alpha,TRUE,1215,3,12195,testPhase
7,0,C1150,Gamma,Gamma,TRUE,1293,3,12195,testPhase
8,0,C1350,Gamma,Gamma,TRUE,1140,3,12195,testPhase
9,0,B850,Beta,Beta,TRUE,2083,3,12195,testPhase
10,0,A50,Alpha,Alpha,TRUE,1210,3,12195,testPhase
11,0,A450,Alpha,Alpha,TRUE,1166,3,12195,testPhase
12,0,B550,Beta,Beta,TRUE,2017,3,12195,testPhase
13,0,A250,Alpha,Alpha,TRUE,1069,3,12195,testPhase
14,0,C1250,Gamma,Gamma,TRUE,1117,3,12195,testPhase
15,0,B750,Beta,Beta,TRUE,1325,3,12195,testPhase
16,0,C1050,Gamma,Gamma,TRUE,1207,3,12195,testPhase
0,0,C1350,Gamma,Gamma,TRUE,2163,3,12198,testPhase
1,0,C1150,Gamma,Gamma,TRUE,1359,3,12198,testPhase
2,0,C1450,Gamma,Gamma,TRUE,1150,3,12198,testPhase
3,0,B850,Beta,Beta,TRUE,1601,3,12198,testPhase
4,0,B750,Beta,Beta,TRUE,1068,3,12198,testPhase
5,0,A350,Alpha,Alpha,TRUE,1400,3,12198,testPhase
6,0,A450,Alpha,Alpha,TRUE,1011,3,12198,testPhase
7,0,C1250,Gamma,Gamma,TRUE,1076,3,12198,testPhase
8,0,T500,test,Beta,FALSE,1122,3,12198,testPhase
9,0,A250,Alpha,Beta,FALSE,1214,3,12198,testPhase
10,0,B950,Beta,Beta,TRUE,1142,3,12198,testPhase
11,0,C1050,Gamma,Gamma,TRUE,1277,3,12198,testPhase
