trial,block,stimId,category,response,accuracy,rt,condition,id,phase
0,0,C1250,Gamma,Beta,False,2558,3,12141,trainPhase
1,0,A450,Alpha,Alpha,True,1349,3,12141,trainPhase
2,0,B650,Beta,Beta,True,905,3,12141,trainPhase
3,0,A350,Alpha,Alpha,True,1465,3,12141,trainPhase
4,0,B550,Beta,Beta,True,597,3,12141,trainPhase
5,0,C1350,Gamma,Gamma,True,614,3,12141,trainPhase
6,0,C1050,Gamma,Gamma,True,1587,3,12141,trainPhase
7,0,C1450,Gamma,Gamma,True,806,3,12141,trainPhase
8,0,B850,Beta,Beta,True,2381,3,12141,trainPhase
9,0,A50,Alpha,Alpha,True,908,3,12141,trainPhase
10,0,A250,Alpha,Alpha,True,1340,3,12141,trainPhase
11,0,C1150,Gamma,Beta,False,1037,3,12141,trainPhase
12,0,B950,Beta,Beta,True,1243,3,12141,trainPhase
13,0,B750,Beta,Beta,True,789,3,12141,trainPhase
14,0,A150,Alpha,Alpha,True,1461,3,12141,trainPhase
0,1,A150,Alpha,Alpha,True,701,3,12141,trainPhase
1,1,C1250,Gamma,Gamma,True,1140,3,12141,trainPhase
2,1,C1350,Gamma,Gamma,True,1093,3,12141,trainPhase
3,1,B650,Beta,Beta,True,766,3,12141,trainPhase
4,1,C1050,Gamma,Gamma,True,1333,3,12141,trainPhase
5,1,A350,Alpha,Beta,False,741,3,12141,trainPhase
6,1,C1450,Gamma,Gamma,True,1198,3,12141,trainPhase
7,1,B850,Beta,Beta,True,845,3,12141,trainPhase
8,1,C1150,Gamma,Gamma,True,1037,3,12141,trainPhase
9,1,A50,Alpha,Alpha,True,892,3,12141,trainPhase
10,1,A450,Alpha,Beta,False,845,3,12141,trainPhase
11,1,B750,Beta,Beta,True,611,3,12141,trainPhase
12,1,A250,Alpha,Alpha,True,894,3,12141,trainPhase
13,1,B550,Beta,Alpha,False,1990,3,12141,trainPhase
14,1,B950,Beta,Beta,True,550,3,12141,trainPhase
0,2,C1350,Gamma,Gamma,True,509,3,12141,trainPhase
1,2,A450,Alpha,Alpha,True,1557,3,12141,trainPhase
2,2,A350,Alpha,Alpha,True,975,3,12141,trainPhase
3,2,B950,Beta,Beta,True,758,3,12141,trainPhase
4,2,B550,Beta,Alpha,False,1308,3,12141,trainPhase
5,2,C1250,Gamma,Gamma,True,1030,3,12141,trainPhase
6,2,A50,Alpha,Alpha,True,1209,3,12141,trainPhase
7,2,A150,Alpha,Alpha,True,1734,3,12141,trainPhase
8,2,C1150,Gamma,Gamma,True,1001,3,12141,trainPhase
9,2,B750,Beta,Beta,True,975,3,12141,trainPhase
10,2,A250,Alpha,Alpha,True,1109,3,12141,trainPhase
11,2,C1450,Gamma,Gamma,True,951,3,12141,trainPhase
12,2,B850,Beta,Beta,True,912,3,12141,trainPhase
13,2,C1050,Gamma,Gamma,True,1308,3,12141,trainPhase
14,2,B650,Beta,Beta,True,717,3,12141,trainPhase
0,3,B550,Beta,Alpha,False,1565,3,12141,trainPhase
1,3,C1450,Gamma,Gamma,True,807,3,12141,trainPhase
2,3,A350,Alpha,Alpha,True,1157,3,12141,trainPhase
3,3,A50,Alpha,Alpha,True,942,3,12141,trainPhase
4,3,B950,Beta,Beta,True,1413,3,12141,trainPhase
5,3,A150,Alpha,Alpha,True,973,3,12141,trainPhase
6,3,C1250,Gamma,Gamma,True,1270,3,12141,trainPhase
7,3,B850,Beta,Beta,True,1006,3,12141,trainPhase
8,3,C1150,Gamma,Gamma,True,696,3,12141,trainPhase
9,3,C1350,Gamma,Gamma,True,1371,3,12141,trainPhase
10,3,A450,Alpha,Beta,False,935,3,12141,trainPhase
11,3,B650,Beta,Beta,True,950,3,12141,trainPhase
12,3,A250,Alpha,Alpha,True,1062,3,12141,trainPhase
13,3,C1050,Gamma,Gamma,True,1140,3,12141,trainPhase
14,3,B750,Beta,Beta,True,801,3,12141,trainPhase
0,4,A150,Alpha,Alpha,True,841,3,12141,trainPhase
1,4,C1050,Gamma,Gamma,True,1751,3,12141,trainPhase
2,4,B750,Beta,Beta,True,1140,3,12141,trainPhase
3,4,B850,Beta,Beta,True,1152,3,12141,trainPhase
4,4,A250,Alpha,Alpha,True,997,3,12141,trainPhase
5,4,C1150,Gamma,Gamma,True,1454,3,12141,trainPhase
6,4,C1450,Gamma,Gamma,True,1117,3,12141,trainPhase
7,4,C1250,Gamma,Gamma,True,798,3,12141,trainPhase
8,4,A450,Alpha,Beta,False,806,3,12141,trainPhase
9,4,A350,Alpha,Alpha,True,1357,3,12141,trainPhase
10,4,B650,Beta,Beta,True,1062,3,12141,trainPhase
11,4,A50,Alpha,Alpha,True,812,3,12141,trainPhase
12,4,B950,Beta,Gamma,False,2582,3,12141,trainPhase
13,4,B550,Beta,Beta,True,1157,3,12141,trainPhase
14,4,C1350,Gamma,Gamma,True,1048,3,12141,trainPhase
0,0,B850,Beta,Alpha,False,3428,3,12144,trainPhase
1,0,B550,Beta,Gamma,False,2101,3,12144,trainPhase
2,0,C1150,Gamma,Beta,False,1292,3,12144,trainPhase
3,0,B950,Beta,Beta,True,2226,3,12144,trainPhase
4,0,C1350,Gamma,Gamma,True,969,3,12144,trainPhase
5,0,A350,Alpha,Alpha,True,1411,3,12144,trainPhase
6,0,C1050,Gamma,Beta,False,811,3,12144,trainPhase
7,0,A250,Alpha,Alpha,True,1674,3,12144,trainPhase
8,0,B650,Beta,Beta,True,1946,3,12144,trainPhase
9,0,C1250,Gamma,Gamma,True,945,3,12144,trainPhase
10,0,C1450,Gamma,Gamma,True,1118,3,12144,trainPhase
11,0,B750,Beta,Beta,True,782,3,12144,trainPhase
12,0,A450,Alpha,Alpha,True,1229,3,12144,trainPhase
13,0,A50,Alpha,Alpha,True,1127,3,12144,trainPhase
14,0,A150,Alpha,Alpha,True,2010,3,12144,trainPhase
0,1,B650,Beta,Beta,True,1291,3,12144,trainPhase
1,1,B950,Beta,Beta,True,1378,3,12144,trainPhase
2,1,B550,Beta,Beta,True,1895,3,12144,trainPhase
3,1,A350,Alpha,Beta,False,1683,3,12144,trainPhase
4,1,C1450,Gamma,Gamma,True,1223,3,12144,trainPhase
5,1,A50,Alpha,Alpha,True,1189,3,12144,trainPhase
6,1,C1350,Gamma,Gamma,True,1695,3,12144,trainPhase
7,1,C1250,Gamma,Gamma,True,965,3,12144,trainPhase
8,1,A150,Alpha,Alpha,True,2079,3,12144,trainPhase
9,1,A250,Alpha,Alpha,True,2430,3,12144,trainPhase
10,1,C1150,Gamma,Gamma,True,1030,3,12144,trainPhase
11,1,B750,Beta,Beta,True,1470,3,12144,trainPhase
12,1,A450,Alpha,Beta,False,751,3,12144,trainPhase
13,1,C1050,Gamma,Gamma,True,1769,3,12144,trainPhase
14,1,B850,Beta,Gamma,False,1575,3,12144,trainPhase
0,2,B550,Beta,Beta,True,770,3,12144,trainPhase
1,2,A350,Alpha,Alpha,True,921,3,12144,trainPhase
2,2,A150,Alpha,Alpha,True,917,3,12144,trainPhase
3,2,B950,Beta,Gamma,False,1138,3,12144,trainPhase
4,2,B750,Beta,Beta,True,1342,3,12144,trainPhase
5,2,A50,Alpha,Alpha,True,1155,3,12144,trainPhase
6,2,A450,Alpha,Beta,False,1092,3,12144,trainPhase
7,2,C1150,Gamma,Gamma,True,1263,3,12144,trainPhase
8,2,A250,Alpha,Alpha,True,1015,3,12144,trainPhase
9,2,B850,Beta,Gamma,False,1534,3,12144,trainPhase
10,2,C1350,Gamma,Gamma,True,947,3,12144,trainPhase
11,2,C1250,Gamma,Gamma,True,1637,3,12144,trainPhase
12,2,B650,Beta,Beta,True,970,3,12144,trainPhase
13,2,C1450,Gamma,Gamma,True,1714,3,12144,trainPhase
14,2,C1050,Gamma,Gamma,True,2378,3,12144,trainPhase
0,3,B950,Beta,Gamma,False,982,3,12144,trainPhase
1,3,C1450,Gamma,Gamma,True,1334,3,12144,trainPhase
2,3,B750,Beta,Beta,True,1043,3,12144,trainPhase
3,3,A50,Alpha,Alpha,True,999,3,12144,trainPhase
4,3,C1150,Gamma,Beta,False,1130,3,12144,trainPhase
5,3,B850,Beta,Gamma,False,1661,3,12144,trainPhase
6,3,C1050,Gamma,Gamma,True,1061,3,12144,trainPhase
7,3,C1350,Gamma,Gamma,True,880,3,12144,trainPhase
8,3,B650,Beta,Beta,True,669,3,12144,trainPhase
9,3,A250,Alpha,Alpha,True,1149,3,12144,trainPhase
10,3,A150,Alpha,Alpha,True,736,3,12144,trainPhase
11,3,A450,Alpha,Beta,False,1596,3,12144,trainPhase
12,3,A350,Alpha,Alpha,True,1305,3,12144,trainPhase
13,3,B550,Beta,Beta,True,1498,3,12144,trainPhase
14,3,C1250,Gamma,Gamma,True,1025,3,12144,trainPhase
0,4,C1350,Gamma,Gamma,True,1085,3,12144,trainPhase
1,4,A450,Alpha,Alpha,True,1511,3,12144,trainPhase
2,4,B550,Beta,Beta,True,840,3,12144,trainPhase
3,4,A350,Alpha,Alpha,True,1217,3,12144,trainPhase
4,4,B950,Beta,Gamma,False,2059,3,12144,trainPhase
5,4,C1150,Gamma,Gamma,True,941,3,12144,trainPhase
6,4,B750,Beta,Beta,True,964,3,12144,trainPhase
7,4,C1050,Gamma,Gamma,True,667,3,12144,trainPhase
8,4,A250,Alpha,Alpha,True,1095,3,12144,trainPhase
9,4,A50,Alpha,Alpha,True,1133,3,12144,trainPhase
10,4,A150,Alpha,Alpha,True,3154,3,12144,trainPhase
11,4,B850,Beta,Gamma,False,2445,3,12144,trainPhase
12,4,C1450,Gamma,Gamma,True,1071,3,12144,trainPhase
13,4,C1250,Gamma,Gamma,True,1208,3,12144,trainPhase
14,4,B650,Beta,Beta,True,888,3,12144,trainPhase
0,0,C1450,Gamma,Alpha,False,10548,3,12161,trainPhase
1,0,B550,Beta,Beta,True,5449,3,12161,trainPhase
2,0,C1150,Gamma,Gamma,True,2138,3,12161,trainPhase
3,0,B750,Beta,Beta,True,1992,3,12161,trainPhase
4,0,A250,Alpha,Alpha,True,1916,3,12161,trainPhase
5,0,C1050,Gamma,Gamma,True,1661,3,12161,trainPhase
6,0,A350,Alpha,Beta,False,2962,3,12161,trainPhase
7,0,C1250,Gamma,Gamma,True,1478,3,12161,trainPhase
8,0,A150,Alpha,Alpha,True,2049,3,12161,trainPhase
9,0,B850,Beta,Beta,True,1867,3,12161,trainPhase
10,0,B950,Beta,Gamma,False,2233,3,12161,trainPhase
11,0,A50,Alpha,Alpha,True,1668,3,12161,trainPhase
12,0,A450,Alpha,Beta,False,1575,3,12161,trainPhase
13,0,C1350,Gamma,Gamma,True,1796,3,12161,trainPhase
14,0,B650,Beta,Beta,True,1569,3,12161,trainPhase
0,1,A150,Alpha,Alpha,True,2076,3,12161,trainPhase
1,1,B750,Beta,Beta,True,1642,3,12161,trainPhase
2,1,C1450,Gamma,Gamma,True,1543,3,12161,trainPhase
3,1,A350,Alpha,Beta,False,1644,3,12161,trainPhase
4,1,B850,Beta,Beta,True,1434,3,12161,trainPhase
5,1,C1150,Gamma,Gamma,True,1757,3,12161,trainPhase
6,1,C1250,Gamma,Gamma,True,1843,3,12161,trainPhase
7,1,A50,Alpha,Alpha,True,1840,3,12161,trainPhase
8,1,B650,Beta,Beta,True,2172,3,12161,trainPhase
9,1,B950,Beta,Beta,True,3532,3,12161,trainPhase
10,1,A250,Alpha,Alpha,True,2093,3,12161,trainPhase
11,1,C1350,Gamma,Gamma,True,1809,3,12161,trainPhase
12,1,B550,Beta,Beta,True,2290,3,12161,trainPhase
13,1,A450,Alpha,Beta,False,1427,3,12161,trainPhase
14,1,C1050,Gamma,Beta,False,1938,3,12161,trainPhase
0,2,B750,Beta,Beta,True,1275,3,12161,trainPhase
1,2,A250,Alpha,Alpha,True,1331,3,12161,trainPhase
2,2,A350,Alpha,Alpha,True,1628,3,12161,trainPhase
3,2,B850,Beta,Beta,True,1682,3,12161,trainPhase
4,2,A450,Alpha,Beta,False,2909,3,12161,trainPhase
5,2,C1350,Gamma,Gamma,True,1671,3,12161,trainPhase
6,2,C1050,Gamma,Beta,False,2110,3,12161,trainPhase
7,2,B550,Beta,Beta,True,1578,3,12161,trainPhase
8,2,B650,Beta,Beta,True,1908,3,12161,trainPhase
9,2,C1250,Gamma,Gamma,True,1691,3,12161,trainPhase
10,2,B950,Beta,Beta,True,1675,3,12161,trainPhase
11,2,C1150,Gamma,Gamma,True,1575,3,12161,trainPhase
12,2,A50,Alpha,Alpha,True,1316,3,12161,trainPhase
13,2,A150,Alpha,Alpha,True,2069,3,12161,trainPhase
14,2,C1450,Gamma,Gamma,True,1606,3,12161,trainPhase
0,3,A350,Alpha,Beta,False,1558,3,12161,trainPhase
1,3,A250,Alpha,Alpha,True,1454,3,12161,trainPhase
2,3,A450,Alpha,Beta,False,2150,3,12161,trainPhase
3,3,B650,Beta,Beta,True,2970,3,12161,trainPhase
4,3,C1450,Gamma,Gamma,True,1528,3,12161,trainPhase
5,3,A150,Alpha,Alpha,True,1394,3,12161,trainPhase
6,3,B750,Beta,Beta,True,1281,3,12161,trainPhase
7,3,B950,Beta,Gamma,False,1910,3,12161,trainPhase
8,3,A50,Alpha,Alpha,True,1460,3,12161,trainPhase
9,3,B850,Beta,Beta,True,2233,3,12161,trainPhase
10,3,C1150,Gamma,Gamma,True,1179,3,12161,trainPhase
11,3,C1050,Gamma,Gamma,True,1655,3,12161,trainPhase
12,3,B550,Beta,Beta,True,1460,3,12161,trainPhase
13,3,C1250,Gamma,Gamma,True,1535,3,12161,trainPhase
14,3,C1350,Gamma,Gamma,True,1657,3,12161,trainPhase
0,4,A50,Alpha,Alpha,True,1481,3,12161,trainPhase
1,4,B550,Beta,Beta,True,1455,3,12161,trainPhase
2,4,C1150,Gamma,Gamma,True,1398,3,12161,trainPhase
3,4,A350,Alpha,Beta,False,1394,3,12161,trainPhase
