trial,block,stimId,category,response,rt,condition,id,phase
0,0,A350,Alpha,a,2864,1,11296,study
1,0,A50,Alpha,a,2426,1,11296,study
2,0,A250,Alpha,a,1162,1,11296,study
3,0,A450,Alpha,a,1817,1,11296,study
4,0,A150,Alpha,a,1559,1,11296,study
0,1,A50,Alpha,a,1167,1,11296,study
1,1,A250,Alpha,a,1169,1,11296,study
2,1,A150,Alpha,a,1238,1,11296,study
3,1,A350,Alpha,a,1062,1,11296,study
4,1,A450,Alpha,a,1283,1,11296,study
0,2,A50,Alpha,a,1744,1,11296,study
1,2,A250,Alpha,a,1512,1,11296,study
2,2,A350,Alpha,a,1362,1,11296,study
3,2,A150,Alpha,a,1162,1,11296,study
4,2,A450,Alpha,a,628,1,11296,study
0,3,A350,Alpha,a,755,1,11296,study
1,3,A50,Alpha,a,726,1,11296,study
2,3,A450,Alpha,a,1382,1,11296,study
3,3,A150,Alpha,a,1239,1,11296,study
4,3,A250,Alpha,a,901,1,11296,study
0,4,A450,Alpha,a,559,1,11296,study
1,4,A250,Alpha,a,568,1,11296,study
2,4,A350,Alpha,a,560,1,11296,study
3,4,A50,Alpha,a,665,1,11296,study
4,4,A150,Alpha,a,519,1,11296,study
0,0,A450,Alpha,a,5767,1,12139,study
1,0,A350,Alpha,a,1692,1,12139,study
2,0,A250,Alpha,a,1080,1,12139,study
3,0,A50,Alpha,a,723,1,12139,study
4,0,A150,Alpha,a,2061,1,12139,study
0,1,A450,Alpha,a,1401,1,12139,study
1,1,A250,Alpha,a,1031,1,12139,study
2,1,A350,Alpha,a,1799,1,12139,study
3,1,A150,Alpha,a,1933,1,12139,study
4,1,A50,Alpha,a,745,1,12139,study
0,2,A350,Alpha,a,2505,1,12139,study
1,2,A150,Alpha,a,538,1,12139,study
2,2,A450,Alpha,a,541,1,12139,study
3,2,A250,Alpha,a,950,1,12139,study
4,2,A50,Alpha,a,1230,1,12139,study
0,3,A250,Alpha,a,5437,1,12139,study
1,3,A450,Alpha,a,1746,1,12139,study
2,3,A50,Alpha,a,4586,1,12139,study
3,3,A150,Alpha,a,5562,1,12139,study
4,3,A350,Alpha,a,1583,1,12139,study
0,4,A50,Alpha,a,2080,1,12139,study
1,4,A250,Alpha,a,13577,1,12139,study
2,4,A350,Alpha,a,2489,1,12139,study
3,4,A450,Alpha,a,3332,1,12139,study
4,4,A150,Alpha,a,5902,1,12139,study
0,0,A50,Alpha,a,4074,1,12142,study
1,0,A250,Alpha,a,2233,1,12142,study
2,0,A350,Alpha,a,1183,1,12142,study
3,0,A450,Alpha,a,1039,1,12142,study
4,0,A150,Alpha,a,2318,1,12142,study
0,1,A150,Alpha,a,1350,1,12142,study
1,1,A350,Alpha,a,2075,1,12142,study
2,1,A250,Alpha,a,882,1,12142,study
3,1,A450,Alpha,a,1151,1,12142,study
4,1,A50,Alpha,a,1072,1,12142,study
0,2,A50,Alpha,a,768,1,12142,study
1,2,A350,Alpha,a,1210,1,12142,study
2,2,A150,Alpha,a,851,1,12142,study
3,2,A450,Alpha,a,1201,1,12142,study
4,2,A250,Alpha,a,848,1,12142,study
0,3,A350,Alpha,a,1021,1,12142,study
1,3,A50,Alpha,a,973,1,12142,study
2,3,A250,Alpha,a,1165,1,12142,study
3,3,A450,Alpha,a,1244,1,12142,study
4,3,A150,Alpha,a,618,1,12142,study
0,4,A250,Alpha,a,1301,1,12142,study
1,4,A450,Alpha,a,1605,1,12142,study
2,4,A50,Alpha,a,1100,1,12142,study
3,4,A150,Alpha,a,1088,1,12142,study
4,4,A350,Alpha,a,1406,1,12142,study
0,0,A250,Alpha,a,3373,1,12145,study
1,0,A50,Alpha,a,1500,1,12145,study
2,0,A150,Alpha,a,1551,1,12145,study
3,0,A450,Alpha,a,1009,1,12145,study
4,0,A350,Alpha,a,1012,1,12145,study
0,1,A250,Alpha,a,1028,1,12145,study
1,1,A450,Alpha,a,883,1,12145,study
2,1,A150,Alpha,a,1103,1,12145,study
3,1,A50,Alpha,a,779,1,12145,study
4,1,A350,Alpha,a,2006,1,12145,study
0,2,A350,Alpha,a,817,1,12145,study
1,2,A450,Alpha,a,751,1,12145,study
2,2,A50,Alpha,a,912,1,12145,study
3,2,A250,Alpha,a,738,1,12145,study
4,2,A150,Alpha,a,797,1,12145,study
0,3,A150,Alpha,a,876,1,12145,study
1,3,A250,Alpha,a,728,1,12145,study
2,3,A350,Alpha,a,682,1,12145,study
3,3,A450,Alpha,a,599,1,12145,study
4,3,A50,Alpha,a,599,1,12145,study
0,4,A350,Alpha,a,1341,1,12145,study
1,4,A450,Alpha,a,672,1,12145,study
2,4,A150,Alpha,a,669,1,12145,study
3,4,A250,Alpha,a,736,1,12145,study
4,4,A50,Alpha,a,651,1,12145,study
0,0,A450,Alpha,a,3974,1,12133,study
1,0,A150,Alpha,a,1298,1,12133,study
2,0,A50,Alpha,a,974,1,12133,study
3,0,A350,Alpha,a,1334,1,12133,study
4,0,A250,Alpha,a,968,1,12133,study
0,1,A450,Alpha,a,1521,1,12133,study
1,1,A150,Alpha,a,1242,1,12133,study
2,1,A50,Alpha,a,846,1,12133,study
3,1,A250,Alpha,a,996,1,12133,study
4,1,A350,Alpha,a,1372,1,12133,study
0,2,A350,Alpha,a,1045,1,12133,study
1,2,A150,Alpha,a,867,1,12133,study
2,2,A250,Alpha,a,1941,1,12133,study
3,2,A450,Alpha,a,1183,1,12133,study
4,2,A50,Alpha,a,1448,1,12133,study
0,3,A450,Alpha,a,1285,1,12133,study
1,3,A350,Alpha,a,1080,1,12133,study
2,3,A150,Alpha,a,1247,1,12133,study
3,3,A250,Alpha,a,1178,1,12133,study
4,3,A50,Alpha,a,1275,1,12133,study
0,4,A450,Alpha,a,1024,1,12133,study
1,4,A150,Alpha,a,1182,1,12133,study
2,4,A350,Alpha,a,1212,1,12133,study
3,4,A50,Alpha,a,1357,1,12133,study
4,4,A250,Alpha,a,1446,1,12133,study
0,0,A350,Alpha,a,4934,1,12162,study
1,0,A250,Alpha,a,1736,1,12162,study
2,0,A50,Alpha,a,1114,1,12162,study
3,0,A450,Alpha,a,2964,1,12162,study
4,0,A150,Alpha,a,1197,1,12162,study
0,1,A450,Alpha,a,2567,1,12162,study
1,1,A250,Alpha,a,2949,1,12162,study
2,1,A50,Alpha,a,1077,1,12162,study
3,1,A150,Alpha,a,1315,1,12162,study
4,1,A350,Alpha,a,2133,1,12162,study
0,2,A50,Alpha,a,1325,1,12162,study
1,2,A350,Alpha,a,1055,1,12162,study
2,2,A450,Alpha,a,1134,1,12162,study
3,2,A150,Alpha,a,1575,1,12162,study
4,2,A250,Alpha,a,959,1,12162,study
0,3,A350,Alpha,a,1289,1,12162,study
1,3,A50,Alpha,a,828,1,12162,study
2,3,A150,Alpha,a,3352,1,12162,study
3,3,A450,Alpha,a,918,1,12162,study
4,3,A250,Alpha,a,2495,1,12162,study
0,4,A50,Alpha,a,1450,1,12162,study
1,4,A250,Alpha,a,1308,1,12162,study
2,4,A150,Alpha,a,855,1,12162,study
3,4,A450,Alpha,a,820,1,12162,study
4,4,A350,Alpha,a,1050,1,12162,study
0,0,A350,Alpha,a,5108,1,12184,study
1,0,A50,Alpha,a,1896,1,12184,study
2,0,A250,Alpha,a,1487,1,12184,study
3,0,A150,Alpha,a,1201,1,12184,study
4,0,A450,Alpha,a,1225,1,12184,study
0,1,A250,Alpha,a,1423,1,12184,study
1,1,A450,Alpha,a,1149,1,12184,study
2,1,A350,Alpha,a,998,1,12184,study
3,1,A50,Alpha,a,908,1,12184,study
4,1,A150,Alpha,a,1199,1,12184,study
0,2,A350,Alpha,a,800,1,12184,study
1,2,A450,Alpha,a,1007,1,12184,study
2,2,A250,Alpha,a,1068,1,12184,study
3,2,A150,Alpha,a,858,1,12184,study
4,2,A50,Alpha,a,686,1,12184,study
0,3,A50,Alpha,a,690,1,12184,study
1,3,A150,Alpha,a,605,1,12184,study
2,3,A250,Alpha,a,1884,1,12184,study
3,3,A350,Alpha,a,801,1,12184,study
4,3,A450,Alpha,a,871,1,12184,study
0,4,A350,Alpha,a,749,1,12184,study
