trial,block,stimId,category,response,accuracy,rt,condition,id,phase
0,0,C1150,Gamma,Gamma,True,3119,1,11296,testPhase
1,0,B950, Beta,Beta,False,1063,1,11296,testPhase
2,0,A50,Alpha,Alpha,True,1299,1,11296,testPhase
3,0,C1350,Gamma,Gamma,True,958,1,11296,testPhase
4,0,B750,Beta,Beta,True,1534,1,11296,testPhase
5,0,B850,Beta,Beta,True,877,1,11296,testPhase
6,0,C1250,Gamma,Gamma,True,767,1,11296,testPhase
7,0,A150,Alpha,Alpha,True,1070,1,11296,testPhase
8,0,C1450,Gamma,Gamma,True,1402,1,11296,testPhase
9,0,A350,Alpha,Beta,False,1003,1,11296,testPhase
10,0,A250,Alpha,Alpha,True,1998,1,11296,testPhase
11,0,T1000,test,Gamma,False,971,1,11296,testPhase
12,0,T500,test,Beta,False,1133,1,11296,testPhase
13,0,C1050,Gamma,Beta,False,1505,1,11296,testPhase
14,0,A450,Alpha,Alpha,True,1284,1,11296,testPhase
15,0,B650,Beta,Beta,True,1172,1,11296,testPhase
16,0,B550,Beta,Beta,True,737,1,11296,testPhase
0,0,C1250,Gamma,Gamma,True,2180,1,12139,testPhase
1,0,C1050,Gamma,Gamma,True,1543,1,12139,testPhase
2,0,B750,Beta,Beta,True,2950,1,12139,testPhase
3,0,A50,Alpha,Alpha,True,1457,1,12139,testPhase
4,0,A350,Alpha,Beta,False,1046,1,12139,testPhase
5,0,T500,test,Beta,False,1544,1,12139,testPhase
6,0,C1150,Gamma,Gamma,True,873,1,12139,testPhase
7,0,A250,Alpha,Alpha,True,1202,1,12139,testPhase
8,0,C1450,Gamma,Gamma,True,1083,1,12139,testPhase
9,0,B550,Beta,Beta,True,1746,1,12139,testPhase
10,0,A150,Alpha,Alpha,True,1111,1,12139,testPhase
11,0,B950, Beta,Gamma,False,974,1,12139,testPhase
12,0,T1000,test,Gamma,False,1211,1,12139,testPhase
13,0,A450,Alpha,Beta,False,1391,1,12139,testPhase
14,0,B650,Beta,Gamma,False,1057,1,12139,testPhase
15,0,B850,Beta,Gamma,False,1023,1,12139,testPhase
16,0,C1350,Gamma,Gamma,True,939,1,12139,testPhase
0,0,C1350,Gamma,Gamma,True,2370,1,12142,testPhase
1,0,C1450,Gamma,Gamma,True,1029,1,12142,testPhase
2,0,C1250,Gamma,Gamma,True,1106,1,12142,testPhase
3,0,B750,Beta,Beta,True,1095,1,12142,testPhase
4,0,B850,Beta,Beta,True,704,1,12142,testPhase
5,0,T1000,test,Gamma,False,1479,1,12142,testPhase
6,0,T500,test,Beta,False,2433,1,12142,testPhase
7,0,A350,Alpha,Alpha,True,1512,1,12142,testPhase
8,0,A50,Alpha,Alpha,True,827,1,12142,testPhase
9,0,A250,Alpha,Alpha,True,789,1,12142,testPhase
10,0,B950, Beta,Gamma,False,1989,1,12142,testPhase
11,0,A150,Alpha,Alpha,True,991,1,12142,testPhase
12,0,B550,Beta,Beta,True,695,1,12142,testPhase
13,0,C1150,Gamma,Gamma,True,962,1,12142,testPhase
14,0,B650,Beta,Beta,True,786,1,12142,testPhase
15,0,C1050,Gamma,Gamma,True,799,1,12142,testPhase
16,0,A450,Alpha,Beta,False,786,1,12142,testPhase
0,0,C1050,Gamma,Beta,False,3947,1,12145,testPhase
1,0,A250,Alpha,Alpha,True,866,1,12145,testPhase
