trial,block,stimId,category,response,rt,condition,id,phase
0,0,B750,Beta,6.0,4845,1,11296,typicality2
1,0,A150,Alpha,6.0,2651,1,11296,typicality2
2,0,B550,Beta,6.0,2228,1,11296,typicality2
3,0,C1150,Gamma,6.0,4475,1,11296,typicality2
4,0,B950, Beta,0.0,3053,1,11296,typicality2
5,0,A350,Alpha,4.0,4834,1,11296,typicality2
6,0,C1350,Gamma,6.0,2059,1,11296,typicality2
7,0,A50,Alpha,6.0,1482,1,11296,typicality2
8,0,C1250,Gamma,6.0,1332,1,11296,typicality2
9,0,A250,Alpha,6.0,1157,1,11296,typicality2
10,0,B850,Beta,4.0,3347,1,11296,typicality2
11,0,C1450,Gamma,6.0,1573,1,11296,typicality2
12,0,A450,Alpha,6.0,1179,1,11296,typicality2
13,0,B650,Beta,6.0,1429,1,11296,typicality2
14,0,C1050,Gamma,6.0,1323,1,11296,typicality2
0,0,B650,Beta,4.0,13640,1,12139,typicality2
1,0,A250,Alpha,6.0,3692,1,12139,typicality2
2,0,C1450,Gamma,6.0,4213,1,12139,typicality2
3,0,C1250,Gamma,6.0,1891,1,12139,typicality2
4,0,B550,Beta,4.0,3904,1,12139,typicality2
5,0,B750,Beta,0.9999999999999998,5931,1,12139,typicality2
6,0,B950, Beta,0.0,3323,1,12139,typicality2
7,0,A50,Alpha,5.0,5221,1,12139,typicality2
8,0,C1050,Gamma,6.0,2914,1,12139,typicality2
9,0,B850,Beta,0.0,3634,1,12139,typicality2
10,0,A450,Alpha,5.0,3305,1,12139,typicality2
11,0,A350,Alpha,5.0,2371,1,12139,typicality2
12,0,C1350,Gamma,6.0,2711,1,12139,typicality2
13,0,A150,Alpha,4.0,9002,1,12139,typicality2
14,0,C1150,Gamma,6.0,2857,1,12139,typicality2
0,0,A50,Alpha,6.0,11344,1,12142,typicality2
1,0,B850,Beta,0.9999999999999998,5225,1,12142,typicality2
2,0,A450,Alpha,2.0,2335,1,12142,typicality2
3,0,B550,Beta,2.0,1171,1,12142,typicality2
4,0,A350,Alpha,2.0,430,1,12142,typicality2
5,0,A150,Alpha,6.0,4700,1,12142,typicality2
6,0,C1450,Gamma,0.0,3913,1,12142,typicality2
7,0,C1350,Gamma,0.0,545,1,12142,typicality2
8,0,A250,Alpha,4.0,2988,1,12142,typicality2
9,0,B750,Beta,2.0,2363,1,12142,typicality2
10,0,C1150,Gamma,0.9999999999999998,2595,1,12142,typicality2
11,0,B950, Beta,0.9999999999999998,1188,1,12142,typicality2
12,0,B650,Beta,0.9999999999999998,954,1,12142,typicality2
13,0,C1050,Gamma,0.9999999999999998,667,1,12142,typicality2
14,0,C1250,Gamma,0.9999999999999998,499,1,12142,typicality2
0,0,B550,Beta,3.0,3718,1,12145,typicality2
1,0,B750,Beta,0.9999999999999998,10369,1,12145,typicality2
2,0,C1450,Gamma,6.0,7830,1,12145,typicality2
3,0,C1350,Gamma,5.0,5428,1,12145,typicality2
4,0,A250,Alpha,5.0,6403,1,12145,typicality2
5,0,C1150,Gamma,5.0,3081,1,12145,typicality2
6,0,C1050,Gamma,5.0,1760,1,12145,typicality2
7,0,C1250,Gamma,5.0,1634,1,12145,typicality2
8,0,A50,Alpha,3.0,3786,1,12145,typicality2
9,0,A150,Alpha,3.0,14041,1,12145,typicality2
10,0,B850,Beta,2.0,8347,1,12145,typicality2
11,0,A450,Alpha,2.0,4853,1,12145,typicality2
12,0,B950, Beta,4.0,2604,1,12145,typicality2
13,0,A350,Alpha,3.0,3309,1,12145,typicality2
14,0,B650,Beta,4.0,5508,1,12145,typicality2
0,0,C1350,Gamma,0.0,6613,1,12133,typicality2
1,0,B850,Beta,5.0,6338,1,12133,typicality2
2,0,C1150,Gamma,5.0,5438,1,12133,typicality2
3,0,C1050,Gamma,5.0,1234,1,12133,typicality2
4,0,B550,Beta,4.0,6391,1,12133,typicality2
5,0,A450,Alpha,0.0,4273,1,12133,typicality2
6,0,C1250,Gamma,5.0,4229,1,12133,typicality2
7,0,B650,Beta,2.0,3836,1,12133,typicality2
8,0,B750,Beta,2.0,2110,1,12133,typicality2
9,0,C1450,Gamma,6.0,6871,1,12133,typicality2
10,0,A150,Alpha,6.0,3022,1,12133,typicality2
11,0,B950, Beta,2.0,34148,1,12133,typicality2
12,0,A50,Alpha,6.0,2661,1,12133,typicality2
13,0,A250,Alpha,6.0,1969,1,12133,typicality2
14,0,A350,Alpha,6.0,1331,1,12133,typicality2
0,0,B750,Beta,5.0,20128,1,12162,typicality2
1,0,C1150,Gamma,5.0,7766,1,12162,typicality2
2,0,B850,Beta,5.0,5151,1,12162,typicality2
3,0,B550,Beta,6.0,4157,1,12162,typicality2
4,0,B950, Beta,3.0,13586,1,12162,typicality2
5,0,A150,Alpha,6.0,6188,1,12162,typicality2
