trial,block,stimId1,stimID2,category1,category2,response,rt,condition,id,phase
1,0,C1250,A250,Alpha,Alpha,0.0,4057,2,12160,similarity
2,0,C1250,B750,Gamma,Beta,0.9999999999999998,5683,2,12160,similarity
3,0,C1250,B850,Gamma,Beta,2.0,2330,2,12160,similarity
4,0,C1250,C1050,Gamma,Gamma,3.0,2098,2,12160,similarity
5,0,C1250,B550,Gamma,Beta,0.9999999999999998,2464,2,12160,similarity
6,0,C1250,C1150,Gamma,Gamma,4.0,2332,2,12160,similarity
7,0,C1250,B950,Gamma, Beta,3.0,1546,2,12160,similarity
8,0,C1250,A50,Gamma,Alpha,0.0,2659,2,12160,similarity
9,0,C1250,A150,Gamma,Alpha,0.0,1363,2,12160,similarity
10,0,C1250,B650,Gamma,Beta,2.0,2932,2,12160,similarity
11,0,C1250,C1450,Gamma,Gamma,5.0,4653,2,12160,similarity
12,0,C1250,A450,Gamma,Alpha,2.0,3572,2,12160,similarity
13,0,C1250,C1350,Gamma,Gamma,5.0,2578,2,12160,similarity
14,0,C1250,A350,Gamma,Alpha,0.9999999999999998,6722,2,12160,similarity
2,1,A250,B750,Alpha,Beta,0.9999999999999998,3599,2,12160,similarity
3,1,A250,B850,Alpha,Beta,0.0,2043,2,12160,similarity
4,1,A250,C1050,Alpha,Gamma,0.0,1074,2,12160,similarity
5,1,A250,B550,Alpha,Beta,0.9999999999999998,2159,2,12160,similarity
6,1,A250,C1150,Alpha,Gamma,0.0,2027,2,12160,similarity
7,1,A250,B950,Alpha, Beta,0.0,824,2,12160,similarity
8,1,A250,A50,Alpha,Alpha,0.9999999999999998,3155,2,12160,similarity
9,1,A250,A150,Alpha,Alpha,2.0,1881,2,12160,similarity
10,1,A250,B650,Alpha,Beta,2.0,2864,2,12160,similarity
11,1,A250,C1450,Alpha,Gamma,0.0,2667,2,12160,similarity
12,1,A250,A450,Alpha,Alpha,3.0,13171,2,12160,similarity
13,1,A250,C1350,Alpha,Gamma,0.0,1844,2,12160,similarity
14,1,A250,A350,Alpha,Alpha,3.0,2406,2,12160,similarity
3,2,B750,B850,Beta,Beta,4.0,1717,2,12160,similarity
4,2,B750,C1050,Beta,Gamma,3.0,1679,2,12160,similarity
5,2,B750,B550,Beta,Beta,3.0,2697,2,12160,similarity
6,2,B750,C1150,Beta,Gamma,2.0,2075,2,12160,similarity
7,2,B750,B950,Beta, Beta,4.0,7605,2,12160,similarity
8,2,B750,A50,Beta,Alpha,0.0,1724,2,12160,similarity
9,2,B750,A150,Beta,Alpha,0.0,1115,2,12160,similarity
10,2,B750,B650,Beta,Beta,3.0,2321,2,12160,similarity
11,2,B750,C1450,Beta,Gamma,2.0,2712,2,12160,similarity
12,2,B750,A450,Beta,Alpha,2.0,8660,2,12160,similarity
13,2,B750,C1350,Beta,Gamma,0.9999999999999998,6782,2,12160,similarity
14,2,B750,A350,Beta,Alpha,0.9999999999999998,1787,2,12160,similarity
4,3,B850,C1050,Beta,Gamma,3.0,3259,2,12160,similarity
5,3,B850,B550,Beta,Beta,2.0,2952,2,12160,similarity
6,3,B850,C1150,Beta,Gamma,4.0,4505,2,12160,similarity
7,3,B850,B950,Beta, Beta,4.0,1425,2,12160,similarity
8,3,B850,A50,Beta,Alpha,0.0,1690,2,12160,similarity
9,3,B850,A150,Beta,Alpha,0.0,2290,2,12160,similarity
10,3,B850,B650,Beta,Beta,3.0,6278,2,12160,similarity
11,3,B850,C1450,Beta,Gamma,2.0,3812,2,12160,similarity
12,3,B850,A450,Beta,Alpha,0.9999999999999998,1795,2,12160,similarity
13,3,B850,C1350,Beta,Gamma,0.9999999999999998,2010,2,12160,similarity
14,3,B850,A350,Beta,Alpha,0.9999999999999998,3276,2,12160,similarity
5,4,C1050,B550,Gamma,Beta,0.9999999999999998,1306,2,12160,similarity
6,4,C1050,C1150,Gamma,Gamma,4.0,2702,2,12160,similarity
7,4,C1050,B950,Gamma, Beta,5.0,4242,2,12160,similarity
8,4,C1050,A50,Gamma,Alpha,0.0,1804,2,12160,similarity
9,4,C1050,A150,Gamma,Alpha,0.0,1020,2,12160,similarity
10,4,C1050,B650,Gamma,Beta,0.9999999999999998,2776,2,12160,similarity
11,4,C1050,C1450,Gamma,Gamma,0.9999999999999998,3206,2,12160,similarity
12,4,C1050,A450,Gamma,Alpha,0.9999999999999998,3132,2,12160,similarity
13,4,C1050,C1350,Gamma,Gamma,3.0,2960,2,12160,similarity
14,4,C1050,A350,Gamma,Alpha,0.9999999999999998,5459,2,12160,similarity
6,5,B550,C1150,Beta,Gamma,0.9999999999999998,1578,2,12160,similarity
7,5,B550,B950,Beta, Beta,0.9999999999999998,662,2,12160,similarity
8,5,B550,A50,Beta,Alpha,0.0,2149,2,12160,similarity
9,5,B550,A150,Beta,Alpha,0.0,931,2,12160,similarity
10,5,B550,B650,Beta,Beta,3.0,2050,2,12160,similarity
11,5,B550,C1450,Beta,Gamma,0.9999999999999998,2428,2,12160,similarity
12,5,B550,A450,Beta,Alpha,4.0,4083,2,12160,similarity
13,5,B550,C1350,Beta,Gamma,0.9999999999999998,2523,2,12160,similarity
14,5,B550,A350,Beta,Alpha,0.9999999999999998,2276,2,12160,similarity
7,6,C1150,B950,Gamma, Beta,2.0,2106,2,12160,similarity
8,6,C1150,A50,Gamma,Alpha,0.0,2723,2,12160,similarity
9,6,C1150,A150,Gamma,Alpha,0.0,1130,2,12160,similarity
10,6,C1150,B650,Gamma,Beta,0.9999999999999998,2441,2,12160,similarity
11,6,C1150,C1450,Gamma,Gamma,2.0,1907,2,12160,similarity
12,6,C1150,A450,Gamma,Alpha,0.0,4328,2,12160,similarity
13,6,C1150,C1350,Gamma,Gamma,3.0,2633,2,12160,similarity
14,6,C1150,A350,Gamma,Alpha,0.9999999999999998,1810,2,12160,similarity
8,7,B950,A50, Beta,Alpha,0.0,2146,2,12160,similarity
9,7,B950,A150, Beta,Alpha,0.0,906,2,12160,similarity
10,7,B950,B650, Beta,Beta,2.0,5419,2,12160,similarity
11,7,B950,C1450, Beta,Gamma,0.9999999999999998,2868,2,12160,similarity
12,7,B950,A450, Beta,Alpha,0.9999999999999998,2086,2,12160,similarity
13,7,B950,C1350, Beta,Gamma,2.0,2226,2,12160,similarity
14,7,B950,A350, Beta,Alpha,0.9999999999999998,1771,2,12160,similarity
9,8,A50,A150,Alpha,Alpha,2.0,6773,2,12160,similarity
10,8,A50,B650,Alpha,Beta,0.0,1922,2,12160,similarity
11,8,A50,C1450,Alpha,Gamma,0.0,1419,2,12160,similarity
12,8,A50,A450,Alpha,Alpha,0.9999999999999998,2209,2,12160,similarity
13,8,A50,C1350,Alpha,Gamma,0.0,1811,2,12160,similarity
14,8,A50,A350,Alpha,Alpha,0.9999999999999998,2129,2,12160,similarity
10,9,A150,B650,Alpha,Beta,0.0,2619,2,12160,similarity
11,9,A150,C1450,Alpha,Gamma,0.0,866,2,12160,similarity
12,9,A150,A450,Alpha,Alpha,0.9999999999999998,2199,2,12160,similarity
13,9,A150,C1350,Alpha,Gamma,0.0,2307,2,12160,similarity
14,9,A150,A350,Alpha,Alpha,0.9999999999999998,2613,2,12160,similarity
11,10,B650,C1450,Beta,Gamma,0.9999999999999998,3268,2,12160,similarity
12,10,B650,A450,Beta,Alpha,2.0,4370,2,12160,similarity
13,10,B650,C1350,Beta,Gamma,0.9999999999999998,1523,2,12160,similarity
14,10,B650,A350,Beta,Alpha,2.0,1531,2,12160,similarity
12,11,C1450,A450,Gamma,Alpha,0.0,3754,2,12160,similarity
13,11,C1450,C1350,Gamma,Gamma,5.0,4137,2,12160,similarity
14,11,C1450,A350,Gamma,Alpha,0.9999999999999998,3658,2,12160,similarity
13,12,A450,C1350,Alpha,Gamma,0.0,4838,2,12160,similarity
14,12,A450,A350,Alpha,Alpha,4.0,4395,2,12160,similarity
14,13,C1350,A350,Gamma,Alpha,0.9999999999999998,2355,2,12160,similarity
1,0,B850,A250,Alpha,Alpha,0.0,5924,2,12163,similarity
2,0,B850,A50,Beta,Alpha,0.0,2354,2,12163,similarity
3,0,B850,A450,Beta,Alpha,0.0,1502,2,12163,similarity
4,0,B850,C1150,Beta,Gamma,0.9999999999999998,4907,2,12163,similarity
5,0,B850,B950,Beta, Beta,5.0,2736,2,12163,similarity
6,0,B850,C1450,Beta,Gamma,0.0,2562,2,12163,similarity
7,0,B850,A350,Beta,Alpha,0.0,1634,2,12163,similarity
8,0,B850,C1350,Beta,Gamma,0.0,1018,2,12163,similarity
9,0,B850,B650,Beta,Beta,3.0,2455,2,12163,similarity
10,0,B850,B550,Beta,Beta,2.0,2201,2,12163,similarity
11,0,B850,C1050,Beta,Gamma,4.0,2273,2,12163,similarity
12,0,B850,C1250,Beta,Gamma,3.0,1963,2,12163,similarity
13,0,B850,A150,Beta,Alpha,0.0,1953,2,12163,similarity
14,0,B850,B750,Beta,Beta,6.0,3186,2,12163,similarity
2,1,A250,A50,Alpha,Alpha,0.0,2021,2,12163,similarity
3,1,A250,A450,Alpha,Alpha,0.0,3116,2,12163,similarity
4,1,A250,C1150,Alpha,Gamma,0.0,1417,2,12163,similarity
5,1,A250,B950,Alpha, Beta,0.0,834,2,12163,similarity
6,1,A250,C1450,Alpha,Gamma,0.0,653,2,12163,similarity
7,1,A250,A350,Alpha,Alpha,5.0,2537,2,12163,similarity
8,1,A250,C1350,Alpha,Gamma,0.0,2009,2,12163,similarity
9,1,A250,B650,Alpha,Beta,0.0,2475,2,12163,similarity
10,1,A250,B550,Alpha,Beta,0.0,835,2,12163,similarity
11,1,A250,C1050,Alpha,Gamma,0.0,595,2,12163,similarity
12,1,A250,C1250,Alpha,Gamma,0.0,712,2,12163,similarity
13,1,A250,A150,Alpha,Alpha,5.0,2663,2,12163,similarity
14,1,A250,B750,Alpha,Beta,0.0,1771,2,12163,similarity
3,2,A50,A450,Alpha,Alpha,0.0,831,2,12163,similarity
4,2,A50,C1150,Alpha,Gamma,0.0,757,2,12163,similarity
5,2,A50,B950,Alpha, Beta,0.0,1363,2,12163,similarity
6,2,A50,C1450,Alpha,Gamma,0.0,668,2,12163,similarity
7,2,A50,A350,Alpha,Alpha,0.0,946,2,12163,similarity
8,2,A50,C1350,Alpha,Gamma,0.0,616,2,12163,similarity
9,2,A50,B650,Alpha,Beta,0.0,1145,2,12163,similarity
10,2,A50,B550,Alpha,Beta,0.0,1103,2,12163,similarity
11,2,A50,C1050,Alpha,Gamma,0.0,722,2,12163,similarity
12,2,A50,C1250,Alpha,Gamma,0.0,717,2,12163,similarity
13,2,A50,A150,Alpha,Alpha,2.0,2742,2,12163,similarity
14,2,A50,B750,Alpha,Beta,0.0,2410,2,12163,similarity
4,3,A450,C1150,Alpha,Gamma,0.0,1786,2,12163,similarity
5,3,A450,B950,Alpha, Beta,0.0,754,2,12163,similarity
6,3,A450,C1450,Alpha,Gamma,0.0,755,2,12163,similarity
7,3,A450,A350,Alpha,Alpha,4.0,3081,2,12163,similarity
8,3,A450,C1350,Alpha,Gamma,0.0,2113,2,12163,similarity
