trial,block,stimId,category,response,accuracy,rt,condition,id,phase
0,0,B750,Beta,Alpha,False,4267,2,12160,trainPhase
1,0,A350,Alpha,Alpha,True,1087,2,12160,trainPhase
2,0,A50,Alpha,Alpha,True,1075,2,12160,trainPhase
3,0,C1150,Gamma,Gamma,True,2598,2,12160,trainPhase
4,0,B650,Beta,Beta,True,2511,2,12160,trainPhase
5,0,B550,Beta,Alpha,False,1117,2,12160,trainPhase
6,0,C1050,Gamma,Gamma,True,1502,2,12160,trainPhase
7,0,B950,Beta,Gamma,False,1102,2,12160,trainPhase
8,0,C1250,Gamma,Gamma,True,1200,2,12160,trainPhase
9,0,B850,Beta,Beta,True,780,2,12160,trainPhase
10,0,C1450,Gamma,Gamma,True,1175,2,12160,trainPhase
11,0,A150,Alpha,Alpha,True,950,2,12160,trainPhase
12,0,A450,Alpha,Alpha,True,1038,2,12160,trainPhase
13,0,C1350,Gamma,Gamma,True,1012,2,12160,trainPhase
14,0,A250,Alpha,Alpha,True,1038,2,12160,trainPhase
0,1,B750,Beta,Alpha,False,1533,2,12160,trainPhase
1,1,C1150,Gamma,Gamma,True,1278,2,12160,trainPhase
2,1,A150,Alpha,Alpha,True,1042,2,12160,trainPhase
3,1,C1350,Gamma,Gamma,True,936,2,12160,trainPhase
4,1,B950,Beta,Gamma,False,1168,2,12160,trainPhase
5,1,C1050,Gamma,Gamma,True,973,2,12160,trainPhase
6,1,C1250,Gamma,Gamma,True,909,2,12160,trainPhase
7,1,A250,Alpha,Alpha,True,925,2,12160,trainPhase
8,1,A50,Alpha,Alpha,True,1033,2,12160,trainPhase
9,1,C1450,Gamma,Gamma,True,870,2,12160,trainPhase
10,1,B550,Beta,Alpha,False,1203,2,12160,trainPhase
11,1,A450,Alpha,Alpha,True,925,2,12160,trainPhase
12,1,A350,Alpha,Alpha,True,841,2,12160,trainPhase
13,1,B650,Beta,Beta,True,750,2,12160,trainPhase
14,1,B850,Beta,Beta,True,927,2,12160,trainPhase
0,2,C1450,Gamma,Gamma,True,706,2,12160,trainPhase
1,2,B950,Beta,Gamma,False,1305,2,12160,trainPhase
2,2,A150,Alpha,Alpha,True,1798,2,12160,trainPhase
3,2,B650,Beta,Alpha,False,1277,2,12160,trainPhase
4,2,A50,Alpha,Alpha,True,865,2,12160,trainPhase
5,2,A350,Alpha,Alpha,True,989,2,12160,trainPhase
6,2,A250,Alpha,Alpha,True,790,2,12160,trainPhase
7,2,B750,Beta,Beta,True,871,2,12160,trainPhase
8,2,B550,Beta,Alpha,False,3113,2,12160,trainPhase
9,2,A450,Alpha,Beta,False,1262,2,12160,trainPhase
10,2,C1150,Gamma,Gamma,True,1220,2,12160,trainPhase
11,2,C1350,Gamma,Gamma,True,726,2,12160,trainPhase
12,2,C1050,Gamma,Gamma,True,1734,2,12160,trainPhase
13,2,B850,Beta,Beta,True,1187,2,12160,trainPhase
14,2,C1250,Gamma,Gamma,True,797,2,12160,trainPhase
0,3,C1250,Gamma,Gamma,True,781,2,12160,trainPhase
1,3,B850,Beta,Beta,True,1046,2,12160,trainPhase
2,3,B950,Beta,Beta,True,885,2,12160,trainPhase
3,3,C1050,Gamma,Gamma,True,1021,2,12160,trainPhase
4,3,A150,Alpha,Alpha,True,877,2,12160,trainPhase
5,3,A350,Alpha,Alpha,True,805,2,12160,trainPhase
6,3,C1350,Gamma,Gamma,True,848,2,12160,trainPhase
